sample_id,question,correct_answer,model_answer,is_correct,type,layer,activation_path,activation_shape
11,What is the capital of Mongolia?,Ulaanbaatar,Ulaanbaatar,True,capital_medium,1,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_11_layer_1.pt,[2304]
11,What is the capital of Mongolia?,Ulaanbaatar,Ulaanbaatar,True,capital_medium,2,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_11_layer_2.pt,[2304]
11,What is the capital of Mongolia?,Ulaanbaatar,Ulaanbaatar,True,capital_medium,3,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_11_layer_3.pt,[2304]
12,What is the capital of Nigeria?,Abuja,Abuja,True,capital_medium,1,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_12_layer_1.pt,[2304]
12,What is the capital of Nigeria?,Abuja,Abuja,True,capital_medium,2,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_12_layer_2.pt,[2304]
12,What is the capital of Nigeria?,Abuja,Abuja,True,capital_medium,3,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_12_layer_3.pt,[2304]
13,What is the capital of Myanmar?,Naypyidaw,Naypyidaw,True,capital_hard,1,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_13_layer_1.pt,[2304]
13,What is the capital of Myanmar?,Naypyidaw,Naypyidaw,True,capital_hard,2,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_13_layer_2.pt,[2304]
13,What is the capital of Myanmar?,Naypyidaw,Naypyidaw,True,capital_hard,3,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_13_layer_3.pt,[2304]
14,What is the capital of Belize?,Belmopan,Belmopan,True,capital_hard,1,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_14_layer_1.pt,[2304]
14,What is the capital of Belize?,Belmopan,Belmopan,True,capital_hard,2,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_14_layer_2.pt,[2304]
14,What is the capital of Belize?,Belmopan,Belmopan,True,capital_hard,3,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_14_layer_3.pt,[2304]
15,What is the capital of Burkina Faso?,Ouagadougou,Ouagadougou,True,capital_hard,1,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_15_layer_1.pt,[2304]
15,What is the capital of Burkina Faso?,Ouagadougou,Ouagadougou,True,capital_hard,2,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_15_layer_2.pt,[2304]
15,What is the capital of Burkina Faso?,Ouagadougou,Ouagadougou,True,capital_hard,3,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_15_layer_3.pt,[2304]
16,What is the capital of Kyrgyzstan?,Bishkek,Bishkek,True,capital_hard,1,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_16_layer_1.pt,[2304]
16,What is the capital of Kyrgyzstan?,Bishkek,Bishkek,True,capital_hard,2,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_16_layer_2.pt,[2304]
16,What is the capital of Kyrgyzstan?,Bishkek,Bishkek,True,capital_hard,3,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_16_layer_3.pt,[2304]
17,What is the capital of Montenegro?,Podgorica,Podgorica,True,capital_hard,1,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_17_layer_1.pt,[2304]
17,What is the capital of Montenegro?,Podgorica,Podgorica,True,capital_hard,2,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_17_layer_2.pt,[2304]
17,What is the capital of Montenegro?,Podgorica,Podgorica,True,capital_hard,3,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_17_layer_3.pt,[2304]
18,What is the capital of Eswatini?,Mbabane,Mbabane,True,capital_hard,1,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_18_layer_1.pt,[2304]
18,What is the capital of Eswatini?,Mbabane,Mbabane,True,capital_hard,2,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_18_layer_2.pt,[2304]
18,What is the capital of Eswatini?,Mbabane,Mbabane,True,capital_hard,3,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_18_layer_3.pt,[2304]
19,Who wrote Hamlet?,William Shakespeare,William Shakespeare,True,author_easy,1,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_19_layer_1.pt,[2304]
19,Who wrote Hamlet?,William Shakespeare,William Shakespeare,True,author_easy,2,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_19_layer_2.pt,[2304]
19,Who wrote Hamlet?,William Shakespeare,William Shakespeare,True,author_easy,3,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_19_layer_3.pt,[2304]
20,Who wrote Pride and Prejudice?,Jane Austen,Jane Austen,True,author_easy,1,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_20_layer_1.pt,[2304]
20,Who wrote Pride and Prejudice?,Jane Austen,Jane Austen,True,author_easy,2,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_20_layer_2.pt,[2304]
20,Who wrote Pride and Prejudice?,Jane Austen,Jane Austen,True,author_easy,3,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_20_layer_3.pt,[2304]
21,Who wrote The Trial?,Franz Kafka,Franz Kafka,True,author_medium,1,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_21_layer_1.pt,[2304]
21,Who wrote The Trial?,Franz Kafka,Franz Kafka,True,author_medium,2,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_21_layer_2.pt,[2304]
21,Who wrote The Trial?,Franz Kafka,Franz Kafka,True,author_medium,3,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_21_layer_3.pt,[2304]
22,Who wrote One Hundred Years of Solitude?,Gabriel Garcia Marquez,Gabriel Garcia Marquez,True,author_medium,1,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_22_layer_1.pt,[2304]
22,Who wrote One Hundred Years of Solitude?,Gabriel Garcia Marquez,Gabriel Garcia Marquez,True,author_medium,2,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_22_layer_2.pt,[2304]
22,Who wrote One Hundred Years of Solitude?,Gabriel Garcia Marquez,Gabriel Garcia Marquez,True,author_medium,3,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_22_layer_3.pt,[2304]
23,Who wrote Things Fall Apart?,Chinua Achebe,Chinua Achebe,True,author_medium,1,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_23_layer_1.pt,[2304]
23,Who wrote Things Fall Apart?,Chinua Achebe,Chinua Achebe,True,author_medium,2,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_23_layer_2.pt,[2304]
23,Who wrote Things Fall Apart?,Chinua Achebe,Chinua Achebe,True,author_medium,3,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_23_layer_3.pt,[2304]
24,Who wrote The Stranger?,Albert Camus,Albert Camus,True,author_medium,1,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_24_layer_1.pt,[2304]
24,Who wrote The Stranger?,Albert Camus,Albert Camus,True,author_medium,2,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_24_layer_2.pt,[2304]
24,Who wrote The Stranger?,Albert Camus,Albert Camus,True,author_medium,3,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_24_layer_3.pt,[2304]
25,Who wrote The Master and Margarita?,Mikhail Bulgakov,Mikhail Bulgakov,True,author_hard,1,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_25_layer_1.pt,[2304]
25,Who wrote The Master and Margarita?,Mikhail Bulgakov,Mikhail Bulgakov,True,author_hard,2,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_25_layer_2.pt,[2304]
25,Who wrote The Master and Margarita?,Mikhail Bulgakov,Mikhail Bulgakov,True,author_hard,3,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_25_layer_3.pt,[2304]
26,Who wrote The Tale of Genji?,Murasaki Shikibu,Murasaki Shikibu,True,author_hard,1,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_26_layer_1.pt,[2304]
26,Who wrote The Tale of Genji?,Murasaki Shikibu,Murasaki Shikibu,True,author_hard,2,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_26_layer_2.pt,[2304]
26,Who wrote The Tale of Genji?,Murasaki Shikibu,Murasaki Shikibu,True,author_hard,3,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_26_layer_3.pt,[2304]
27,Who wrote Invisible Cities?,Italo Calvino,It was written by Italo Calvino.,True,author_hard,1,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_27_layer_1.pt,[2304]
27,Who wrote Invisible Cities?,Italo Calvino,It was written by Italo Calvino.,True,author_hard,2,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_27_layer_2.pt,[2304]
27,Who wrote Invisible Cities?,Italo Calvino,It was written by Italo Calvino.,True,author_hard,3,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_27_layer_3.pt,[2304]
28,Who wrote The Dispossessed?,Ursula K Le Guin,Ursula K. Le Guin,True,author_hard,1,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_28_layer_1.pt,[2304]
28,Who wrote The Dispossessed?,Ursula K Le Guin,Ursula K. Le Guin,True,author_hard,2,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_28_layer_2.pt,[2304]
28,Who wrote The Dispossessed?,Ursula K Le Guin,Ursula K. Le Guin,True,author_hard,3,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_28_layer_3.pt,[2304]
29,Who painted the Mona Lisa?,Leonardo da Vinci,Leonardo da Vinci,True,art_easy,1,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_29_layer_1.pt,[2304]
29,Who painted the Mona Lisa?,Leonardo da Vinci,Leonardo da Vinci,True,art_easy,2,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_29_layer_2.pt,[2304]
29,Who painted the Mona Lisa?,Leonardo da Vinci,Leonardo da Vinci,True,art_easy,3,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_29_layer_3.pt,[2304]
30,Who painted The Starry Night?,Vincent van Gogh,Vincent Van Gogh,True,art_easy,1,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_30_layer_1.pt,[2304]
30,Who painted The Starry Night?,Vincent van Gogh,Vincent Van Gogh,True,art_easy,2,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_30_layer_2.pt,[2304]
30,Who painted The Starry Night?,Vincent van Gogh,Vincent Van Gogh,True,art_easy,3,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_30_layer_3.pt,[2304]
31,Who painted Guernica?,Pablo Picasso,Pablo Picasso,True,art_medium,1,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_31_layer_1.pt,[2304]
31,Who painted Guernica?,Pablo Picasso,Pablo Picasso,True,art_medium,2,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_31_layer_2.pt,[2304]
31,Who painted Guernica?,Pablo Picasso,Pablo Picasso,True,art_medium,3,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_31_layer_3.pt,[2304]
32,Who painted The Persistence of Memory?,Salvador Dali,Salvador Dali,True,art_medium,1,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_32_layer_1.pt,[2304]
32,Who painted The Persistence of Memory?,Salvador Dali,Salvador Dali,True,art_medium,2,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_32_layer_2.pt,[2304]
32,Who painted The Persistence of Memory?,Salvador Dali,Salvador Dali,True,art_medium,3,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_32_layer_3.pt,[2304]
33,Who painted The Birth of Venus?,Sandro Botticelli,Sandro Botticelli,True,art_medium,1,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_33_layer_1.pt,[2304]
33,Who painted The Birth of Venus?,Sandro Botticelli,Sandro Botticelli,True,art_medium,2,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_33_layer_2.pt,[2304]
33,Who painted The Birth of Venus?,Sandro Botticelli,Sandro Botticelli,True,art_medium,3,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_33_layer_3.pt,[2304]
34,Who painted Las Meninas?,Diego Velazquez,Diego Velazquez,True,art_hard,1,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_34_layer_1.pt,[2304]
34,Who painted Las Meninas?,Diego Velazquez,Diego Velazquez,True,art_hard,2,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_34_layer_2.pt,[2304]
34,Who painted Las Meninas?,Diego Velazquez,Diego Velazquez,True,art_hard,3,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_34_layer_3.pt,[2304]
35,Who painted The Night Watch?,Rembrandt,Rembrandt,True,art_hard,1,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_35_layer_1.pt,[2304]
35,Who painted The Night Watch?,Rembrandt,Rembrandt,True,art_hard,2,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_35_layer_2.pt,[2304]
35,Who painted The Night Watch?,Rembrandt,Rembrandt,True,art_hard,3,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_35_layer_3.pt,[2304]
36,Who painted The Kiss?,Gustav Klimt,Gustav Klimt,True,art_hard,1,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_36_layer_1.pt,[2304]
36,Who painted The Kiss?,Gustav Klimt,Gustav Klimt,True,art_hard,2,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_36_layer_2.pt,[2304]
36,Who painted The Kiss?,Gustav Klimt,Gustav Klimt,True,art_hard,3,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_36_layer_3.pt,[2304]
37,What is the chemical symbol for gold?,Au,Au,True,chemistry_easy,1,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_37_layer_1.pt,[2304]
37,What is the chemical symbol for gold?,Au,Au,True,chemistry_easy,2,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_37_layer_2.pt,[2304]
37,What is the chemical symbol for gold?,Au,Au,True,chemistry_easy,3,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_37_layer_3.pt,[2304]
38,What is the chemical symbol for water?,H2O,H2O,True,chemistry_easy,1,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_38_layer_1.pt,[2304]
38,What is the chemical symbol for water?,H2O,H2O,True,chemistry_easy,2,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_38_layer_2.pt,[2304]
38,What is the chemical symbol for water?,H2O,H2O,True,chemistry_easy,3,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_38_layer_3.pt,[2304]
39,What is the chemical symbol for sodium?,Na,Na,True,chemistry_easy,1,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_39_layer_1.pt,[2304]
39,What is the chemical symbol for sodium?,Na,Na,True,chemistry_easy,2,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_39_layer_2.pt,[2304]
39,What is the chemical symbol for sodium?,Na,Na,True,chemistry_easy,3,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_39_layer_3.pt,[2304]
40,What is the chemical symbol for potassium?,K,K,True,chemistry_easy,1,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_40_layer_1.pt,[2304]
40,What is the chemical symbol for potassium?,K,K,True,chemistry_easy,2,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_40_layer_2.pt,[2304]
40,What is the chemical symbol for potassium?,K,K,True,chemistry_easy,3,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_40_layer_3.pt,[2304]
41,What is the chemical symbol for tungsten?,W,W,True,chemistry_medium,1,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_41_layer_1.pt,[2304]
41,What is the chemical symbol for tungsten?,W,W,True,chemistry_medium,2,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_41_layer_2.pt,[2304]
41,What is the chemical symbol for tungsten?,W,W,True,chemistry_medium,3,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_41_layer_3.pt,[2304]
42,What is the chemical symbol for silver?,Ag,Ag,True,chemistry_medium,1,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_42_layer_1.pt,[2304]
42,What is the chemical symbol for silver?,Ag,Ag,True,chemistry_medium,2,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_42_layer_2.pt,[2304]
42,What is the chemical symbol for silver?,Ag,Ag,True,chemistry_medium,3,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_42_layer_3.pt,[2304]
43,What is the chemical symbol for lead?,Pb,Pb,True,chemistry_medium,1,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_43_layer_1.pt,[2304]
43,What is the chemical symbol for lead?,Pb,Pb,True,chemistry_medium,2,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_43_layer_2.pt,[2304]
43,What is the chemical symbol for lead?,Pb,Pb,True,chemistry_medium,3,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_43_layer_3.pt,[2304]
44,What is the chemical symbol for mercury?,Hg,Hg,True,chemistry_medium,1,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_44_layer_1.pt,[2304]
44,What is the chemical symbol for mercury?,Hg,Hg,True,chemistry_medium,2,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_44_layer_2.pt,[2304]
44,What is the chemical symbol for mercury?,Hg,Hg,True,chemistry_medium,3,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_44_layer_3.pt,[2304]
45,What is the chemical symbol for antimony?,Sb,Sb,True,chemistry_hard,1,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_45_layer_1.pt,[2304]
45,What is the chemical symbol for antimony?,Sb,Sb,True,chemistry_hard,2,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_45_layer_2.pt,[2304]
45,What is the chemical symbol for antimony?,Sb,Sb,True,chemistry_hard,3,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_45_layer_3.pt,[2304]
46,What is the chemical symbol for tin?,Sn,Sn,True,chemistry_hard,1,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_46_layer_1.pt,[2304]
46,What is the chemical symbol for tin?,Sn,Sn,True,chemistry_hard,2,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_46_layer_2.pt,[2304]
46,What is the chemical symbol for tin?,Sn,Sn,True,chemistry_hard,3,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_46_layer_3.pt,[2304]
47,What planet is known as the Red Planet?,Mars,Mars,True,science_easy,1,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_47_layer_1.pt,[2304]
47,What planet is known as the Red Planet?,Mars,Mars,True,science_easy,2,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_47_layer_2.pt,[2304]
47,What planet is known as the Red Planet?,Mars,Mars,True,science_easy,3,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_47_layer_3.pt,[2304]
48,What is the largest planet in the Solar System?,Jupiter,Jupiter,True,science_easy,1,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_48_layer_1.pt,[2304]
48,What is the largest planet in the Solar System?,Jupiter,Jupiter,True,science_easy,2,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_48_layer_2.pt,[2304]
48,What is the largest planet in the Solar System?,Jupiter,Jupiter,True,science_easy,3,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_48_layer_3.pt,[2304]
49,What gas do plants absorb from the atmosphere?,carbon dioxide,Carbon dioxide,True,science_easy,1,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_49_layer_1.pt,[2304]
49,What gas do plants absorb from the atmosphere?,carbon dioxide,Carbon dioxide,True,science_easy,2,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_49_layer_2.pt,[2304]
49,What gas do plants absorb from the atmosphere?,carbon dioxide,Carbon dioxide,True,science_easy,3,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_49_layer_3.pt,[2304]
50,What is the closest planet to the Sun?,Mercury,Mercury,True,science_easy,1,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_50_layer_1.pt,[2304]
50,What is the closest planet to the Sun?,Mercury,Mercury,True,science_easy,2,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_50_layer_2.pt,[2304]
50,What is the closest planet to the Sun?,Mercury,Mercury,True,science_easy,3,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_50_layer_3.pt,[2304]
51,What is the hardest natural substance?,diamond,Diamond,True,science_medium,1,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_51_layer_1.pt,[2304]
51,What is the hardest natural substance?,diamond,Diamond,True,science_medium,2,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_51_layer_2.pt,[2304]
51,What is the hardest natural substance?,diamond,Diamond,True,science_medium,3,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_51_layer_3.pt,[2304]
52,What is the SI unit of electric current?,ampere,Ampere,True,physics_medium,1,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_52_layer_1.pt,[2304]
52,What is the SI unit of electric current?,ampere,Ampere,True,physics_medium,2,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_52_layer_2.pt,[2304]
52,What is the SI unit of electric current?,ampere,Ampere,True,physics_medium,3,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_52_layer_3.pt,[2304]
53,Who developed the theory of relativity?,Albert Einstein,Albert Einstein,True,physics_easy,1,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_53_layer_1.pt,[2304]
53,Who developed the theory of relativity?,Albert Einstein,Albert Einstein,True,physics_easy,2,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_53_layer_2.pt,[2304]
