question,correct_answer,possible_answers,type
In what country is Asian Highway Network?,People's Republic of China,"[""People's Republic of China"", ""China"", ""CN"", ""PR China"", ""PRC"", ""CHN"", ""🇨🇳"", ""China PR"", ""Mainland China"", ""Russia"", ""Rossiya"", ""Rossija"", ""RU"", ""Rossijskaja Federatsija"", ""Russian Federation"", ""Rossiyskaya Federatsiya"", ""Rus"", ""RF"", ""Japan"", ""State of Japan"", ""Land of the Rising Sun"", ""Nihon"", ""Nippon"", ""JP"", ""Nippon-koku"", ""Nihon-koku"", ""JA"", ""JPN"", ""JAP"", ""Azerbaijan"", ""Republic of Azerbaijan"", ""az"", ""🇦🇿"", ""AZE"", ""Kazakhstan"", ""Republic of Kazakhstan"", ""kz"", ""Qazaqstan"", ""KAZ"", ""🇰🇿"", ""Indonesia"", ""Republic of Indonesia"", ""id"", ""INA"", ""IDN"", ""Uzbekistan"", ""Republic of Uzbekistan"", ""uz"", ""🇺🇿"", ""UZB"", ""Singapore"", ""Republic of Singapore"", ""SG"", ""🇸🇬"", ""Singapore City"", ""SGP"", ""Lion City"", ""Garden City"", ""Armenia"", ""Republic of Armenia"", ""🇦🇲"", ""ARM"", ""AM"", ""Cambodia"", ""Kingdom of Cambodia"", ""kh"", ""🇰🇭"", ""Kampuchea"", ""Camboya"", ""Campuchia"", ""Kamboja"", ""Kambodzha"", ""Turkey"", ""Republic of Turkey"", ""🇹🇷"", ""TUR"", ""TR"", ""India"", ""Bharat"", ""Hindustan"", ""Bharatvarsh"", ""in"", ""Republic of India"", ""🇮🇳"", ""IND"", ""Aryavratt"", ""Iran"", ""Islamic Republic of Iran"", ""Persia"", ""ir"", ""Islamic Rep. Iran"", ""🇮🇷"", ""Kyrgyzstan"", ""Kyrgyz Republic"", ""kg"", ""Kirgizia"", ""🇰🇬"", ""KGZ"", ""Laos"", ""Lao People's Democratic Republic"", ""la"", ""Lao PDR"", ""LAO"", ""🇱🇦"", ""Malaysia"", ""my"", ""Federation of Malaysia"", ""Malaysia Federation"", ""MAS"", ""MYS"", ""🇲🇾"", ""Pakistan"", ""🇵🇰"", ""pk"", ""Islamic Republic of Pakistan"", ""PAK"", ""Sri Lanka"", ""Democratic Socialist Republic of Sri Lanka"", ""Ceylon"", ""Taprobane"", ""Serendib"", ""Ceylan"", ""🇱🇰"", ""lk"", ""Lanka, Sri"", ""sri"", ""lke"", ""ce"", ""Srilanka"", ""سرنديب"", ""سيلان"", ""Tajikistan"", ""Republic of Tajikistan"", ""tj"", ""🇹🇯"", ""TJK"", ""Thailand"", ""Kingdom of Thailand"", ""th"", ""Siam"", ""🇹🇭"", ""Land of Smiles"", ""THA"", ""Turkmenistan"", ""Turkmenia"", ""tm"", ""TKM"", ""🇹🇲"", ""Vietnam"", ""Socialist Republic of Vietnam"", ""VN"", ""VIE"", ""🇻🇳"", ""Việt Nam"", ""Viet Nam"", ""SRV"", ""VNM"", ""South Korea"", ""Republic of Korea"", ""ROK"", ""kr"", ""Rep. Korea"", ""S. Korea"", ""Korea Republic"", ""🇰🇷"", ""KOR"", ""Afghanistan"", ""af"", ""🇦🇫"", ""AFG"", ""Bangladesh"", ""bd"", ""🇧🇩"", ""BAN"", ""People's Republic of Bangladesh"", ""Bhutan"", ""Kingdom of Bhutan"", ""bt"", ""BHU"", ""🇧🇹""]",country
Who was the composer of Mexico?,James Taylor,"[""James Taylor"", ""James Vernon Taylor""]",composer
What is the capital of Bury?,Bury,"[""Bury"", ""Bury, Greater Manchester""]",capital
Who was the composer of The Fly?,Howard Shore,"[""Howard Shore"", ""Howard Leslie Shore""]",composer
What is the religion of José Palmeira Lessa?,Catholic Church,"[""Catholic Church"", ""Roman Catholic Church"", ""Church"", ""Roman Apostolic Catholic Church""]",religion
What sport does Jim Thomas play?,basketball,"[""basketball"", ""hoops"", ""b-ball"", ""basket ball"", ""BB""]",sport
What genre is Suits?,legal drama,"[""legal drama"", ""courtroom drama"", ""comedy-drama"", ""dramedy"", ""comedic drama"", ""tragicomedy"", ""seriocomedy"", ""comedy drama"", ""dramatic comedy"", ""Comedy-drama, dramedy""]",genre
In what country is Millennium Biltmore Hotel?,United States of America,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",country
What is Anderson the capital of?,Madison County,"[""Madison County"", ""Madison County, Indiana""]",capital of
Who was the screenwriter for Pilot?,David Lynch,"[""David Lynch"", ""David Keith Lynch"", ""Mark Frost"", ""Eric Bowman""]",screenwriter
Who was the screenwriter for The Good Life?,Steve Berra,"[""Steve Berra""]",screenwriter
In what country is Korean Magazine Museum?,South Korea,"[""South Korea"", ""Republic of Korea"", ""ROK"", ""kr"", ""Rep. Korea"", ""S. Korea"", ""Korea Republic"", ""🇰🇷"", ""KOR""]",country
What is the capital of Special Region of Yogyakarta?,Yogyakarta City,"[""Yogyakarta City"", ""Yogyakarta""]",capital
Who is the father of Alexander Graham Bell?,Alexander Melville Bell,"[""Alexander Melville Bell""]",father
In what city was David Holmes Black born?,Vancouver,"[""Vancouver"", ""City of Vancouver"", ""Vancouver, BC"", ""Vancouver, British Columbia""]",place of birth
Who was the screenwriter for Hard to Be a God?,Peter Fleischmann,"[""Peter Fleischmann""]",screenwriter
Who was the producer of The Lunchbox?,Anurag Kashyap,"[""Anurag Kashyap"", ""Guneet Monga""]",producer
Who was the screenwriter for The Getaway?,Walter Hill,"[""Walter Hill""]",screenwriter
Who was the director of Helen?,Sandra Nettelbeck,"[""Sandra Nettelbeck""]",director
What is the capital of Commonwealth of the Philippines?,Manila,"[""Manila"", ""City of Manila""]",capital
Who was the director of The First Time?,Frank Tashlin,"[""Frank Tashlin"", ""Francis Fredrick von Taschlein"", ""Tish Tash""]",director
What genre is Play the Game?,rock music,"[""rock music"", ""rock and roll"", ""rock""]",genre
What is the capital of Niger?,Niamey,"[""Niamey""]",capital
Who was the screenwriter for Cover Up?,Dennis O'Keefe,"[""Dennis O'Keefe""]",screenwriter
Who was the director of Redemption?,Jon Alpert,"[""Jon Alpert""]",director
What is T Power's occupation?,record producer,"[""record producer"", ""music producer""]",occupation
What is the religion of George VI?,Anglicanism,"[""Anglicanism"", ""Anglicanism, Anglican Church""]",religion
In what country is Villacerf?,France,"[""France"", ""fr"", ""République française"", ""La France"", ""Republic of France"", ""French Republic"", ""FRA"", ""the Hexagon""]",country
In what city was Mark Holzemer born?,Littleton,"[""Littleton"", ""LIttleton, Colorado""]",place of birth
What genre is Is This It?,rock music,"[""rock music"", ""rock and roll"", ""rock""]",genre
Who was the screenwriter for The Sea Inside?,Mateo Gil,"[""Mateo Gil""]",screenwriter
In what city was Jim Roland born?,Franklin,"[""Franklin"", ""Franklin, North Carolina""]",place of birth
Who is the author of Tricks?,Ellen Hopkins,"[""Ellen Hopkins"", ""Ellen Louise Hopkins""]",author
What is Pataliputra the capital of?,Gupta Empire,"[""Gupta Empire"", ""Golden age of india"", ""Maurya Empire"", ""Pala Empire"", ""Palas"", ""Nanda Empire"", ""Nanda dynasty""]",capital of
Who was the producer of Beyond Belief?,Beth Murphy,"[""Beth Murphy""]",producer
Who was the producer of Earth?,Deepa Mehta,"[""Deepa Mehta""]",producer
Who is the author of Luminous?,Greg Egan,"[""Greg Egan"", ""Gregory Mark Egan""]",author
Who was the producer of Human Nature?,Quincy Jones,"[""Quincy Jones"", ""Q"", ""Quincy"", ""Quincy Delight Jones Jr."", ""Quincy Delight Jones Jr"", ""Quincy Jones Jr.""]",producer
Who is the mother of Karl Mozart?,Constanze Mozart,"[""Constanze Mozart"", ""Maria Constanze Caecilia Josepha Johanna Aloisia Mozart"", ""Constanze Weber"", ""Maria Constanze Cäcilia Josepha Johanna Aloysia Weber"", ""Constanze Nissen"", ""José Aguilera Pérez""]",mother
Who was the director of Before and After?,Barbet Schroeder,"[""Barbet Schroeder""]",director
In what country is Fairview Outdoor School?,United States of America,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",country
What is the capital of Massac County?,Metropolis,"[""Metropolis"", ""Metropolis, Illinois""]",capital
What is the capital of Scotland?,Edinburgh,"[""Edinburgh"", ""Edinburg"", ""Edinburgh, Scotland"", ""City of Edinburgh"", ""Edina"", ""Modern Athens""]",capital
Who is the author of U and I?,Nicholson Baker,"[""Nicholson Baker""]",author
Who was the screenwriter for Stop! Or My Dog Will Shoot?,John Frink,"[""John Frink""]",screenwriter
Who was the producer of Riding the Bullet?,Mick Garris,"[""Mick Garris""]",producer
What is the religion of Giovanni Diodati?,Calvinism,"[""Calvinism"", ""Reformed Christianity"", ""Reformed Protestantism"", ""Reformed faith"", ""Reformed tradition"", ""Reformed"", ""Calvinist Christianity"", ""Reformed church""]",religion
Who is the author of Cool?,Gwen Stefani,"[""Gwen Stefani"", ""Gwen Renée Stefani"", ""Gwen Renee Stefani"", ""Dallas Austin"", ""Dallas L. Austin""]",author
Who was the composer of Heart and Soul?,Hoagy Carmichael,"[""Hoagy Carmichael"", ""Howard Hoagland Carmichael"", ""Hoagland Howard \""Hoagy\"" Carmichael"", ""Hoagland Howard Carmichael"", ""Frank Loesser"", ""Frank Henry Loesser""]",composer
What is Ruby Rose's occupation?,disc jockey,"[""disc jockey"", ""DJ"", ""dee jay"", ""D.J."", ""disk jockey"", ""dee-jay"", ""deejay"", ""disquaire"", ""discaire"", ""actor"", ""actress"", ""actors"", ""actresses"", ""television presenter"", ""host"", ""hostess"", ""TV host"", ""television host"", ""TV presenter"", ""TV anchor"", ""television anchor""]",occupation
What is Paul Caillaud's occupation?,politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
Who was the screenwriter for The Take?,Naomi Klein,"[""Naomi Klein""]",screenwriter
In what country is Weed?,United States of America,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",country
What sport does The Maniacs play?,association football,"[""association football"", ""football"", ""soccer""]",sport
Who was the screenwriter for The Fox?,Howard Koch,"[""Howard Koch"", ""Peter Howard"", ""Lewis John Carlino""]",screenwriter
Who was the composer of Messa?,Giacomo Puccini,"[""Giacomo Puccini"", ""Puccini"", ""Giacomo Antonio Domenico Michele Secondo Maria Puccini""]",composer
Who was the producer of Positive?,Farhan Akhtar,"[""Farhan Akhtar"", ""Ritesh Sidhwani""]",producer
In what country is Williamson County?,United States of America,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",country
Who was the screenwriter for A Little Princess?,Frances Marion,"[""Frances Marion""]",screenwriter
Who was the director of In My Life?,Bille August,"[""Bille August""]",director
What genre is Rush?,progressive rock,"[""progressive rock"", ""prog-rock"", ""prog"", ""classical rock"", ""symphonic rock"", ""art rock"", ""progressive pop"", ""prog rock"", ""hard rock""]",genre
Who was the screenwriter for The Hospital?,Paddy Chayefsky,"[""Paddy Chayefsky"", ""Sidney Aaron Chayefsky""]",screenwriter
Who was the director of First Love?,Joan Darling,"[""Joan Darling""]",director
What genre is Martin Garrix?,electronic dance music,"[""electronic dance music"", ""EDM"", ""club music"", ""dance music"", ""dance""]",genre
Who is the father of David I of Scotland?,Malcolm III of Scotland,"[""Malcolm III of Scotland"", ""Malcolm Canmore""]",father
Who was the director of Nashville?,Robert Altman,"[""Robert Altman""]",director
In what city was Karim Ojjeh born?,Geneva,"[""Geneva"", ""Genève"", ""Geneva GE"", ""Geneve"", ""Genf""]",place of birth
What genre is S Club 7?,pop music,"[""pop music"", ""pop""]",genre
Who was the screenwriter for Yesterday's Hero?,Jackie Collins,"[""Jackie Collins"", ""Jacqueline Jill Collins""]",screenwriter
What genre is Seconds Apart?,thriller,"[""thriller"", ""suspense"", ""thriller television program"", ""thriller TV program"", ""thriller television show"", ""thriller TV show"", ""suspense television program"", ""suspense TV program"", ""suspense television show"", ""suspense TV show""]",genre
Who was the composer of The Mission?,Ennio Morricone,"[""Ennio Morricone"", ""Dan Savio"", ""Leo Nichols""]",composer
Who was the producer of A.I. Artificial Intelligence?,Bonnie Curtis,"[""Bonnie Curtis"", ""Bonnie Kathleen Curtis""]",producer
Who is the author of Festivals?,Ruth Manning-Sanders,"[""Ruth Manning-Sanders""]",author
Who was the producer of The Spoilers?,Edwin Carewe,"[""Edwin Carewe"", ""Bartlett Cormack"", ""Edward Bartlett Cormack""]",producer
Who was the screenwriter for Romeo and Juliet?,Renato Castellani,"[""Renato Castellani""]",screenwriter
Who was the screenwriter for I Do?,Damon Lindelof,"[""Damon Lindelof"", ""Damon Laurence Lindelof"", ""Carlton Cuse"", ""Arthur Carlton Cuse""]",screenwriter
Who was the screenwriter for Black Book?,Paul Verhoeven,"[""Paul Verhoeven""]",screenwriter
Who was the screenwriter for The General Line?,Sergei Eisenstein,"[""Sergei Eisenstein"", ""Sergei M. Eisenstein"", ""Sergei Mikhailovich Eisenstein"", ""Sergei Mikhailovich Eizenshtein"", ""Sergej Eisenstein"", ""Sergeiĭ Mikhaiĭlovich Aiĭzenshtaiĭn"", ""Sergey Mikhaylovich Eisenstein"", ""Sergej Michail Eisenstein"", ""Sergej Michajlovic Ejzenstejn"", ""Sergeij Eisenstein"", ""Sergei Eizenshtein""]",screenwriter
What sport does James Thomas play?,association football,"[""association football"", ""football"", ""soccer""]",sport
Who was the composer of Tailor Wibbel?,Mark Lothar,"[""Mark Lothar""]",composer
What genre is Last Will?,mystery film,"[""mystery film""]",genre
What is Leigh Whannell's occupation?,screenwriter,"[""screenwriter"", ""scenarist"", ""writer"", ""screen writer"", ""script writer"", ""scriptwriter"", ""actor"", ""actress"", ""actors"", ""actresses""]",occupation
Who was the screenwriter for 15 Minutes?,John Herzfeld,"[""John Herzfeld""]",screenwriter
Who was the composer of Amok Time?,Gerald Fried,"[""Gerald Fried""]",composer
What is Adil Shamoo's occupation?,biochemist,"[""biochemist"", ""biological chemist""]",occupation
Who is the author of Ruth?,Elizabeth Gaskell,"[""Elizabeth Gaskell"", ""Author of Mary Barton,"", ""Elizabeth Cleghorn Gaskell"", ""Elizabeth Cleghorn Stevenson"", ""Mrs. Gaskell, née Stevenson""]",author
What is Marie-France Mignal's occupation?,actor,"[""actor"", ""actress"", ""actors"", ""actresses""]",occupation
"In what country is Laxmipur, Mahakali?",Nepal,"[""Nepal"", ""NPL"", ""Federal Democratic Republic of Nepal"", ""NEP"", ""NP"", ""🇳🇵""]",country
Who is the author of The Information?,Martin Amis,"[""Martin Amis"", ""Martin Louis Amis""]",author
Who is the author of The Dark?,Marianne Curley,"[""Marianne Curley""]",author
Who was the composer of Fame?,Michael Gore,"[""Michael Gore""]",composer
Who was the screenwriter for 2012?,Roland Emmerich,"[""Roland Emmerich""]",screenwriter
Who was the composer of Ankhiyon Ke Jharokhon Se?,Ravindra Jain,"[""Ravindra Jain""]",composer
Who was the composer of Martin's Lie?,Gian Carlo Menotti,"[""Gian Carlo Menotti""]",composer
Who is the author of 1602: New World?,Greg Pak,"[""Greg Pak""]",author
Who was the director of Out of This World?,Hal Walker,"[""Hal Walker""]",director
What is Duncan the capital of?,Stephens County,"[""Stephens County"", ""Stephens County, Oklahoma""]",capital of
What is Lima the capital of?,Viceroyalty of Perú,"[""Viceroyalty of Perú"", ""Viceroyalty of Peru"", ""Peru"", ""pe"", ""Republic of Peru"", ""República del Perú"", ""🇵🇪"", ""Republica del Peru""]",capital of
Who was the screenwriter for Little Busters!?,Yūto Tonokawa,"[""Yūto Tonokawa"", ""Yuto Tonokawa"", ""Yuuto Tonokawa""]",screenwriter
Who was the director of Pilot?,Alex Graves,"[""Alex Graves"", ""Alexander Graves"", ""Alexander John Graves""]",director
Who was the producer of The Miracle?,Joseph Menchen,"[""Joseph Menchen"", ""Max Reinhardt""]",producer
Who was the director of Prag?,Ole Christian Madsen,"[""Ole Christian Madsen""]",director
Who was the screenwriter for Romance?,Catherine Breillat,"[""Catherine Breillat""]",screenwriter
Who is the author of Hot Water?,P. G. Wodehouse,"[""P. G. Wodehouse"", ""Pelham Grenville Wodehouse"", ""Sir Pelham Grenville Wodehouse"", ""P.G. Wodehouse""]",author
Who is the author of Black?,Joyce Carol Oates,"[""Joyce Carol Oates""]",author
Who was the screenwriter for The Wash?,DJ Pooh,"[""DJ Pooh""]",screenwriter
Who was the producer of Precious?,Lee Daniels,"[""Lee Daniels"", ""Lee Louis Daniels"", ""Oprah Winfrey"", ""Oprah Gail Winfrey"", ""Oprah"", ""Tyler Perry"", ""Emmitt Perry Jr.""]",producer
What sport does 2009 Ukrainian Cup Final play?,association football,"[""association football"", ""football"", ""soccer""]",sport
What is Pierre Abraham's occupation?,journalist,"[""journalist"", ""journo"", ""journalists""]",occupation
Who is the author of The Saint?,Wesley Strick,"[""Wesley Strick"", ""Burl Barer"", ""Jonathan Hensleigh"", ""Jonathan Blair Hensleigh"", ""Leslie Charteris"", ""Leslie Charles Bowyer-Yin""]",author
In what country is CIKR-FM?,Canada,"[""Canada"", ""Dominion of Canada"", ""British North America"", ""CAN"", ""CA"", ""Can.""]",country
Who was the producer of Trust?,David Schwimmer,"[""David Schwimmer"", ""David Lawrence Schwimmer""]",producer
Who is the author of Rainbows End?,Vernor Vinge,"[""Vernor Vinge"", ""Vernor Steffen Vinge""]",author
In what country is KIQZ?,United States of America,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",country
What genre is Progression?,trance,"[""trance"", ""trance music""]",genre
In what city was Joachim Zachris Duncker born?,Ristiina,"[""Ristiina"", ""Kristina"", ""Kristina kommun""]",place of birth
Who is the author of Carnival of Souls?,Melissa Marr,"[""Melissa Marr"", ""M. A. Marr"", ""Melissa A Marr""]",author
Who was the producer of The Descendants?,Alexander Payne,"[""Alexander Payne""]",producer
Who was the producer of One of the Best?,Carlyle Blackwell,"[""Carlyle Blackwell""]",producer
In what country is Cổ Linh?,Vietnam,"[""Vietnam"", ""Socialist Republic of Vietnam"", ""VN"", ""VIE"", ""🇻🇳"", ""Việt Nam"", ""Viet Nam"", ""SRV"", ""VNM""]",country
What genre is The Gamble?,comedy film,"[""comedy film"", ""comedy movie""]",genre
Who was the screenwriter for The Shout?,Robert Graves,"[""Robert Graves"", ""Robert von Ranke-Graves"", ""Robert Ranke Graves"", ""Robert von Ranke Graves"", ""Jerzy Skolimowski""]",screenwriter
Who is the mother of New Approach?,Park Express,"[""Park Express""]",mother
Who was the screenwriter for The Words?,Brian Klugman,"[""Brian Klugman""]",screenwriter
What genre is The Untold?,horror film,"[""horror film"", ""horror movie""]",genre
Who was the composer of Getting to Know You?,Richard Rodgers,"[""Richard Rodgers"", ""Richard Charles Rodgers""]",composer
What genre is She?,punk rock,"[""punk rock"", ""punk"", ""punk music""]",genre
What genre is Hang-On?,arcade game machine,"[""arcade game machine"", ""coin-op"", ""arcade game"", ""arcade machine"", ""racing video game"", ""racing game"", ""racing video games"", ""racer""]",genre
Who is the father of Kim Kardashian?,Robert Kardashian,"[""Robert Kardashian"", ""Robert George Kardashian"", ""Rob Kardashian""]",father
What is Elvin Penner's occupation?,politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
Who was the producer of Time Piece?,Jim Henson,"[""Jim Henson"", ""James Maury Henson""]",producer
Who was the composer of Imagine?,John Lennon,"[""John Lennon"", ""John Winston Ono Lennon"", ""John Winston Lennon"", ""Lennon John"", ""John Ono Lennon""]",composer
In what city was Kalevi Kull born?,Tartu,"[""Tartu"", ""Dorpat"", ""Dörpt"", ""Derpt"", ""Tarbatu"", ""Jurjev"", ""Tartto"", ""Tartus""]",place of birth
Who was the director of Independence Day UK?,Dirk Maggs,"[""Dirk Maggs"", ""David George Dirk Maggs""]",director
Who was the screenwriter for Neuf mois ferme?,Albert Dupontel,"[""Albert Dupontel""]",screenwriter
Who was the screenwriter for Running?,Steven Hilliard Stern,"[""Steven Hilliard Stern""]",screenwriter
Who was the director of The Confession?,David Hugh Jones,"[""David Hugh Jones"", ""David Jones""]",director
Who was the producer of 2 On?,Jon Redwine,"[""Jon Redwine"", ""Mustard"", ""Dijon Isaiah McFarlane"", ""Dijon McFarlane"", ""DJ Mustard""]",producer
Who is the author of Wolf?,Gillian Cross,"[""Gillian Cross""]",author
What genre is Magic Music?,J-pop,"[""J-pop"", ""Japanese pop"", ""jpop""]",genre
Who was the director of A Woman?,Charlie Chaplin,"[""Charlie Chaplin"", ""Charles Spencer Chaplin"", ""Charles Chaplin"", ""Sir Charles Spencer Chaplin""]",director
Who was the director of Way Out?,Irvin Yeaworth,"[""Irvin Yeaworth""]",director
Who was the producer of Clockwise?,Michael Codron,"[""Michael Codron"", ""Sir Michael Victor Codron""]",producer
What is the capital of Amazonas?,Manaus,"[""Manaus"", ""Mother of Gods"", ""Paris of the Tropics""]",capital
What is Martin the capital of?,Bennett County,"[""Bennett County"", ""Bennett County, South Dakota""]",capital of
Who was the director of Mud?,Jeff Nichols,"[""Jeff Nichols""]",director
Who was the director of Sugar?,Sergio Martino,"[""Sergio Martino"", ""Martin Dolman"", ""Christian Plummer""]",director
What genre is Ivan Julian?,punk rock,"[""punk rock"", ""punk"", ""punk music""]",genre
What genre is Mother Love Bone?,grunge,"[""grunge"", ""Seattle sound"", ""alternative rock"", ""alternative music"", ""alt-rock"", ""alternative"", ""alt rock"", ""pop/rock""]",genre
What is Madrid the capital of?,Spain,"[""Spain"", ""España"", ""Kingdom of Spain"", ""ES"", ""ESP"", ""First Spanish Republic"", ""Community of Madrid"", ""Madrid autonomous community"", ""Madrid province"", ""Comunidad de Madrid"", ""Autonomous Community of Madrid""]",capital of
Who was the screenwriter for Black and White?,Louis Nowra,"[""Louis Nowra""]",screenwriter
Who was the director of Allow Me?,Mario Bonnard,"[""Mario Bonnard""]",director
What genre is Oni?,action game,"[""action game"", ""action video game"", ""third-person shooter"", ""TPS""]",genre
Who was the screenwriter for The Cost?,Ed Burns,"[""Ed Burns"", ""David Simon"", ""David Judah Simon""]",screenwriter
Who is the father of Vimolnaka Nabisi?,Chulalongkorn,"[""Chulalongkorn"", ""Rama V""]",father
Who is the mother of Cornelia Otis Skinner?,Maud Durbin,"[""Maud Durbin"", ""Maud Skinner"", ""Mrs. Otis Skinner"", ""Maud Durbin Skinner"", ""Maud Durban Skinner""]",mother
Who was the screenwriter for Aks?,Rakeysh Omprakash Mehra,"[""Rakeysh Omprakash Mehra""]",screenwriter
In what country is International Islamic Fiqh Academy?,Saudi Arabia,"[""Saudi Arabia"", ""Kingdom of Saudi Arabia"", ""🇸🇦"", ""KSA"", ""sa""]",country
Who was the screenwriter for Mud?,Jeff Nichols,"[""Jeff Nichols""]",screenwriter
Who was the composer of Samson?,George Frideric Handel,"[""George Frideric Handel"", ""Handel"", ""G. F. Handel"", ""Georg Friedrich Händel"", ""George Frederick Handel"", ""G. F. Händel"", ""Händel"", ""George Frideric""]",composer
In what country is Neal?,United States of America,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",country
Who is the father of Carl Valentin Falsen?,Enevold De Falsen,"[""Enevold De Falsen""]",father
In what country is Wellington?,United States of America,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",country
Who was the composer of Easy Money?,Laurence Rosenthal,"[""Laurence Rosenthal""]",composer
In what country is Jan Kochanowski University?,Poland,"[""Poland"", ""POL"", ""Republic of Poland"", ""PL"", ""Polska""]",country
What genre is The Others?,horror film,"[""horror film"", ""horror movie"", ""psychological horror""]",genre
Who was the director of Song of Nevada?,Joseph Kane,"[""Joseph Kane"", ""Jasper Joseph Inman Kane""]",director
Who is the father of Count Palatine Joseph Charles of Sulzbach?,"Theodore Eustace, Count Palatine of Sulzbach","[""Theodore Eustace, Count Palatine of Sulzbach"", ""Theodore Eustace""]",father
What sport does 1949 France rugby union tour of Argentina play?,rugby union,"[""rugby union"", ""rugby""]",sport
