question,correct_answer,possible_answers,type
In what city was Zsuzsanna Németh born?,Budapest,"[""Budapest"", ""Buda Pest"", ""Budapešť"", ""Budapesta"", ""Budapeszt"", ""Buda"", ""Ofen"", ""Budín"", ""Budim"", ""Budon"", ""Pest"", ""Pešť"", ""Pešta"", ""Alt-Ofen"", ""Kőbánya""]",place of birth
Who was the director of Sway?,Miwa Nishikawa,"[""Miwa Nishikawa""]",director
What is the capital of Zavkhan Province?,Uliastai,"[""Uliastai"", ""Uliastay"", ""Javhlant""]",capital
Who was the screenwriter for The Apartment?,Billy Wilder,"[""Billy Wilder"", ""Samuel Wilder""]",screenwriter
Who is the author of Bel Canto?,Ann Patchett,"[""Ann Patchett""]",author
What is Brussels Capital Region the capital of?,Burgundian Netherlands,"[""Burgundian Netherlands"", ""Western European Union"", ""European Economic Community"", ""EEC"", ""Common Market"", ""European Community"", ""Spanish Netherlands"", ""Austrian Netherlands""]",capital of
What sport does Afyonkarahisarspor play?,association football,"[""association football"", ""football"", ""soccer""]",sport
Who was the screenwriter for Amor de Perdição?,Manoel de Oliveira,"[""Manoel de Oliveira"", ""Manoel Cândido Pinto de Oliveira""]",screenwriter
What is the capital of Province of South Carolina?,Charleston,"[""Charleston"", ""Charleston, South Carolina"", ""Charles Town""]",capital
Who is the author of The Way of Kings?,Brandon Sanderson,"[""Brandon Sanderson""]",author
What is the capital of South Australia?,Adelaide,"[""Adelaide"", ""Greater Adelaide""]",capital
Who was the composer of Survivor?,Adam Powers,"[""Adam Powers"", ""Adam Hersland Powers"", ""Iain James""]",composer
What is Babylon the capital of?,Achaemenid Empire,"[""Achaemenid Empire"", ""First Persian Empire"", ""Persian Empire"", ""Persia"", ""Achaemenid Persian Empire"", ""Persian Achaemenid Empire"", ""Achaemenid Persia"", ""Neo-Babylonian Empire""]",capital of
Who was the director of Cotton Comes to Harlem?,Ossie Davis,"[""Ossie Davis"", ""Raiford Chatman Davis""]",director
In what country is Kanaküla?,Estonia,"[""Estonia"", ""Republic of Estonia"", ""Estland"", ""Eesti"", ""ee"", ""EST""]",country
What is Vienna the capital of?,Holy Roman Empire,"[""Holy Roman Empire"", ""Holy Roman Empire of the German Nation"", ""First Reich"", ""Reich"", ""Austrian Empire"", ""Austria"", ""Habsburg Monarchy"", ""Habsburg Empire"", ""Austria-Hungary"", ""Austro-Hungarian Empire"", ""Dual Monarchy"", ""Österreich"", ""Republic of Austria"", ""Republik Österreich"", ""AT"", ""AUT"", ""Lower Austria"", ""Niederösterreich""]",capital of
Who was the composer of La bella dormente nel bosco?,Ottorino Respighi,"[""Ottorino Respighi""]",composer
Who was the screenwriter for The Believer?,Henry Bean,"[""Henry Bean""]",screenwriter
Who was the producer of Saw II?,Gregg Hoffman,"[""Gregg Hoffman"", ""Oren Koules"", ""Mark Burg"", ""Leigh Whannell""]",producer
Who is the father of Bill Haas?,Jay Haas,"[""Jay Haas""]",father
In what city was Bruce Collie born?,Nuremberg,"[""Nuremberg"", ""Nürnberg"", ""Kreisfreie Stadt Nürnberg"", ""Nüremberg""]",place of birth
Who was the producer of 2 On?,Jon Redwine,"[""Jon Redwine"", ""Mustard"", ""Dijon Isaiah McFarlane"", ""Dijon McFarlane"", ""DJ Mustard""]",producer
In what city was Raimonds Vilde born?,Riga,"[""Riga"", ""Rīga"", ""Ryga"", ""Rige"", ""Riia"", ""Rija"", ""Rīgõ""]",place of birth
What is the capital of Sal?,Espargos,"[""Espargos""]",capital
Who is the author of An Age?,Brian Aldiss,"[""Brian Aldiss"", ""Brian Wilson Aldiss"", ""Brian W. Aldiss"", ""Jael Cracken"", ""Dr. Peristyle"", ""C. C. Shackleton""]",author
In what city was Jurgis Karnavičius born?,Vilnius,"[""Vilnius"", ""Vilna"", ""Wilno"", ""Vilne"", ""Wilna"", ""Viļņa"", ""Vilnia"", ""Vilno"", ""Vilnyus""]",place of birth
Who was the composer of Fame?,Michael Gore,"[""Michael Gore""]",composer
In what country is CIKR-FM?,Canada,"[""Canada"", ""Dominion of Canada"", ""British North America"", ""CAN"", ""CA""]",country
Who is the father of Carl Grimes?,Rick Grimes,"[""Rick Grimes""]",father
In what city was Léon-Lévy Brunswick born?,Paris,"[""Paris"", ""City of Light"", ""Paris, France""]",place of birth
Who was the composer of Halloween?,John Carpenter,"[""John Carpenter"", ""John Howard Carpenter""]",composer
"What is the capital of Atenas, Alajuela, Costa Rica?",Atenas,"[""Atenas"", ""Atenas de Atenas""]",capital
In what country is Williamson County?,United States of America,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""the States"", ""'Merica"", ""United States"", ""'Murica""]",country
Who was the composer of Julie Johnson?,Angelo Badalamenti,"[""Angelo Badalamenti"", ""Andy Badale"", ""Angelo Badalmenti"", ""Angelo Daniel Badalamenti""]",composer
Who is the author of The Outing?,James Baldwin,"[""James Baldwin"", ""James Arthur Baldwin""]",author
What is Hamilton the capital of?,Shire of Southern Grampians,"[""Shire of Southern Grampians"", ""Southern Grampians"", ""Southern Grampians Shire""]",capital of
In what city was Zara Turner born?,Belfast,"[""Belfast"", ""Béal Feirste"", ""Beal Feirste"", ""Belfast, Ireland""]",place of birth
Who is the father of Abu Abdallah Mohammed II Saadi?,Abdallah al-Ghalib,"[""Abdallah al-Ghalib"", ""Abdallah al-Ghalib Saadi"", ""Abdallah al-Ghalib Billah""]",father
In what country is Australian Labor Party?,Australia,"[""Australia"", ""Commonwealth of Australia"", ""AU"", ""AUS"", ""British Colony of Australia"", ""Straya"", ""Aussieland""]",country
What sport does earned run average play?,baseball,"[""baseball"", ""America's pastime""]",sport
What is The Valley the capital of?,Anguilla,"[""Anguilla"", ""ai""]",capital of
Who was the director of Prag?,Ole Christian Madsen,"[""Ole Christian Madsen""]",director
Who was the director of In the Cut?,Jane Campion,"[""Jane Campion"", ""Elizabeth Jane Campion"", ""Dame Jane Campion"", ""Dame Elizabeth Jane Campion""]",director
What is the capital of Connecticut?,Hartford,"[""Hartford"", ""Hartford, Connecticut""]",capital
In what country is One Mile?,Australia,"[""Australia"", ""Commonwealth of Australia"", ""AU"", ""AUS"", ""British Colony of Australia"", ""Straya"", ""Aussieland""]",country
Who was the director of Nashville?,Robert Altman,"[""Robert Altman""]",director
Who was the screenwriter for Loop?,Tim Pears,"[""Tim Pears""]",screenwriter
Who is the author of Persuasion?,Jane Austen,"[""Jane Austen""]",author
What is City of Brussels the capital of?,Flanders,"[""Flanders"", ""Flemish Region"", ""Vlaanderen"", ""Vlaams Gewest"", ""Brussels Capital Region"", ""Brussels Region"", ""Brussels"", ""BE-BRU"", ""Bruxelles-Capitale"", ""BXL"", ""20e"", ""04000"", ""BHG"", ""Brussel"", ""Brussels Gewest"", ""Bruxelles"", ""Brussel-Hoofdstad"", ""Région Bruxellois"", ""Belgium"", ""Kingdom of Belgium"", ""BEL"", ""be"", ""European Union"", ""EU"", ""Europe"", ""Union"", ""French Community of Belgium"", ""Fédération Wallonie-Bruxelles"", ""Wallonia-Brussels Federation"", ""Communauté française"", ""Franse Gemeenschap"", ""Federation Wallonie-Bruxelles"", ""Federation Wallonia-Brussels"", ""Flemish Community"", ""Vlaamse Gemeenschap""]",capital of
Who is the author of The Wild Duck?,Henrik Ibsen,"[""Henrik Ibsen"", ""Henrik Johan Ibsen"", ""Henrich Johan Ibsen"", ""Henrich Ibsen""]",author
Who is the author of Darkfever?,Karen Marie Moning,"[""Karen Marie Moning""]",author
Who was the screenwriter for The Reader?,David Hare,"[""David Hare"", ""Sir David Hare"", ""Bernhard Schlink""]",screenwriter
In what country is Ortiz Mountains?,United States of America,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""the States"", ""'Merica"", ""United States"", ""'Murica""]",country
Who was the producer of Albert Schweitzer?,Jerome Hill,"[""Jerome Hill"", ""James Jerome Hill"", ""Jérôme Hill"", ""James Jerome Hill II""]",producer
Who is the father of Mojmir II?,Svatopluk I,"[""Svatopluk I""]",father
What sport does Daigo Watanabe play?,association football,"[""association football"", ""football"", ""soccer""]",sport
What sport does 1899 Wisconsin Badgers football team play?,American football,"[""American football"", ""gridiron football"", ""football"", ""American rules football""]",sport
Who is the author of Sweet Tooth?,Jeff Lemire,"[""Jeff Lemire""]",author
In what city was David Holmes Black born?,Vancouver,"[""Vancouver"", ""City of Vancouver"", ""Vancouver, BC"", ""Vancouver, British Columbia""]",place of birth
What is the capital of Yukon?,Whitehorse,"[""Whitehorse"", ""Whitehorse, Yukon""]",capital
Who is the father of Michael VII Doukas?,Konstantinos X Doukas,"[""Konstantinos X Doukas"", ""Constantine X Ducas, Emperor of Constantinople""]",father
Who was the director of In My Life?,Bille August,"[""Bille August""]",director
Who was the screenwriter for Bread and Circuses?,Gene Roddenberry,"[""Gene Roddenberry"", ""Eugene Wesley Roddenberry""]",screenwriter
Who was the director of Oliver's Story?,John Korty,"[""John Korty""]",director
Who was the director of Turbo?,David Soren,"[""David Soren""]",director
Who was the producer of Avatar?,James Cameron,"[""James Cameron"", ""James Francis Cameron"", ""Jim Cameron""]",producer
Who was the composer of La permission de dix heures?,Jacques Offenbach,"[""Jacques Offenbach"", ""Offenbach""]",composer
In what city was Charlie Davis born?,New York City,"[""New York City"", ""NYC"", ""New York"", ""the five boroughs"", ""Big Apple"", ""City of New York"", ""NY City"", ""New York, New York"", ""New York City, New York"", ""New York, NY"", ""New York City (NYC)""]",place of birth
Who is the father of Indiana Jones?,Henry Jones,"[""Henry Jones"", ""Henry Walton Jones, Sr.""]",father
Who was the producer of The Assault?,Fons Rademakers,"[""Fons Rademakers""]",producer
In what country is United States District Court for the District of South Carolina?,United States of America,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""the States"", ""'Merica"", ""United States"", ""'Murica""]",country
What sport does Mario Rigamonti play?,association football,"[""association football"", ""football"", ""soccer""]",sport
Who is the author of Hard Time?,Mary Skrenes,"[""Mary Skrenes""]",author
Who was the producer of For No One?,George Martin,"[""George Martin"", ""Sir George Henry Martin"", ""Sir George Martin""]",producer
In what country is Wellington?,United States of America,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""the States"", ""'Merica"", ""United States"", ""'Murica""]",country
Who is the author of Take a Good Look?,Jacqueline Wilson,"[""Jacqueline Wilson"", ""Dame Jacqueline Wilson""]",author
What sport does Tim Hoogland play?,association football,"[""association football"", ""football"", ""soccer""]",sport
Who was the director of The Judge?,David Dobkin,"[""David Dobkin"", ""Big Kid Pictures""]",director
Who is the father of Selena Quintanilla?,"Abraham Quintanilla,","[""Abraham Quintanilla,"", ""Abraham Isaac Quintanilla""]",father
What sport does VOKO-Irodion play?,volleyball,"[""volleyball""]",sport
What is Adelaide the capital of?,South Australia,"[""South Australia"", ""SA"", ""S. Aust.""]",capital of
Who was the screenwriter for The Naked Gun: From the Files of Police Squad!?,Pat Proft,"[""Pat Proft"", ""Jerry Zucker"", ""Jim Abrahams"", ""James S. Abrahams"", ""David Zucker""]",screenwriter
Who was the screenwriter for This Is the End?,Seth Rogen,"[""Seth Rogen"", ""Seth Aaron Rogen""]",screenwriter
Who is the author of Little Things?,Raymond Carver,"[""Raymond Carver""]",author
Who was the producer of The Terminal?,Steven Spielberg,"[""Steven Spielberg"", ""Steven Allan Spielberg"", ""Spielberg""]",producer
Who is the father of Helen of Troy?,Zeus,"[""Zeus""]",father
In what city was Richie Ashburn born?,Tilden,"[""Tilden"", ""Tilden, Nebraska""]",place of birth
Who was the composer of Four?,Eddie Vinson,"[""Eddie Vinson"", ""Eddie \""Cleanhead\"" Vinson""]",composer
Who was the composer of This Is It?,Michael Jackson,"[""Michael Jackson"", ""MJ"", ""The King of Pop"", ""Michael Joe Jackson"", ""Michael Joseph Jackson"", ""King of Pop"", ""King of Music"", ""The King""]",composer
Who is the father of Alexander Graham Bell?,Alexander Melville Bell,"[""Alexander Melville Bell""]",father
Who was the composer of The Heart of the World?,Georgy Sviridov,"[""Georgy Sviridov"", ""Georgiĭ Sviridov"", ""Georgiĭ Vasilʹevich Sviridov"", ""Georgy Vasilyevich Sviridov""]",composer
Who was the director of The Lovers?,Tsui Hark,"[""Tsui Hark""]",director
In what country is Eastern United States?,United States of America,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""the States"", ""'Merica"", ""United States"", ""'Murica""]",country
Who is the author of Britannicus?,Jean Racine,"[""Jean Racine"", ""Jean Baptiste Racine""]",author
Who was the director of In the Bedroom?,Todd Field,"[""Todd Field"", ""William Todd Field""]",director
Who is the father of Matilda of Scotland?,Malcolm III of Scotland,"[""Malcolm III of Scotland"", ""Malcolm Canmore""]",father
In what city was Naziah Ali born?,Fiji,"[""Fiji"", ""Republic of Fiji"", ""fj"", ""FIJ"", ""Republic of the Fiji Islands""]",place of birth
Who was the director of The Job?,Ken Kwapis,"[""Ken Kwapis"", ""Kenneth William Kwapis""]",director
Who was the screenwriter for Secrets?,Angela Kang,"[""Angela Kang""]",screenwriter
What is Gap the capital of?,Hautes-Alpes,"[""Hautes-Alpes""]",capital of
What is the capital of South Georgia and the South Sandwich Islands?,King Edward Point,"[""King Edward Point"", ""KEP""]",capital
Who was the screenwriter for Elizabeth?,Michael Hirst,"[""Michael Hirst""]",screenwriter
Who was the director of Dil?,Indra Kumar,"[""Indra Kumar""]",director
In what country is Fin?,Iran,"[""Iran"", ""Islamic Republic of Iran"", ""Persia"", ""ir"", ""Islamic Rep. Iran""]",country
What is Hun the capital of?,Jufra,"[""Jufra"", ""Jofra""]",capital of
What is Stockholm the capital of?,Stockholm County,"[""Stockholm County"", ""Stockholms län"", ""Sweden"", ""Kingdom of Sweden"", ""SE"", ""SWE"", ""Stockholm Municipality"", ""City of Stockholm"", ""Stockholms stad"", ""Union between Sweden and Norway"", ""Svensk-norska unionen"", ""Den svensk-norske union"", ""Sweden-Norway""]",capital of
Who was the screenwriter for The Intern?,Nancy Meyers,"[""Nancy Meyers"", ""Nancy Jane Meyers""]",screenwriter
Who was the director of Mel?,Joey Travolta,"[""Joey Travolta"", ""Joseph Allen Travolta""]",director
In what city was Gaston-François de Witte born?,Antwerp,"[""Antwerp"", ""Antwerpen"", ""City of Antwerp"", ""Anvers""]",place of birth
Who is the father of Dahyabhai Patel?,Vallabhbhai Patel,"[""Vallabhbhai Patel"", ""Sardar Patel"", ""Sardar Vallabhbhai Jhaverbhai Patel"", ""Bismarck of India"", ""Iron Man of India"", ""Unifier of India"", ""Sardar Vallabhbhai Patel""]",father
In what country is Volvic?,France,"[""France"", ""fr"", ""République française"", ""La France"", ""Republic of France"", ""French Republic"", ""FRA"", ""the Hexagon""]",country
Who is the father of Cornelis de Heem?,Jan Davidsz. de Heem,"[""Jan Davidsz. de Heem"", ""Jan Davidszoon De Heem"", ""Jan de Heem"", ""Jan David de Heem"", ""John David de Haem"", ""Monsù Gem Fiammengo"", ""Jan Davidsz. De Hume"", ""Jan Davidsz. De Heen"", ""He Heem"", ""Jan D. Heem"", ""Jan Davidsz. Ditteems"", ""Jan van Heem"", ""Jan Davidts de Heem"", ""Jan Davidsz. De Hum"", ""Jan Davidsz. Deheem"", ""Jan Davidsz. De Heeme"", ""Jan Davidsz. de, I Heem"", ""Jan Davidsz. vander Eem"", ""Jan Davidsz. D'Heem de Oude"", ""Jan Davidsz. Deheim"", ""Jan Davidsz. Deheme"", ""D. Heem"", ""Jan Davidsz. De Hemee"", ""Jan Davidsz. van Heem"", ""Jan Davidsz. de Hemm"", ""Jan Davidsz. de Heem de Oude"", ""Jan Davidsz. Deehem"", ""I. D. De Heem"", ""Jan Davidsz. De Heme"", ""Johan de Heem"", ""John David de Haeem"", ""John David de Heem"", ""Jan Davidsz. De Hem"", ""Jan Davidsz. Du Hem"", ""Jan Davidsz. Dahem"", ""Johannes de Heem"", ""Jan Davidtsz. van Antwerpen"", ""Johannes van Antwerpen"", ""I. de Heem"", ""Monsu Gem Fiammengo"", ""Jan Davisz de Heem"", ""Jean David Dehem"", ""Jan Davids de Heem"", ""J. David Deheem"", ""Jan de Hoem"", ""heem jan davidz de"", ""de heem jan davidcz"", ""le grand-père de David Dekene"", ""Jean David De Heem"", ""Jean Deheem"", ""J. Heen"", ""de Hern"", ""Johann Heem"", ""Jan Dav. De Heem"", ""J. D'Heem"", ""Old Deheem"", ""Jan Davidsen de Heem"", ""J.D. de Heem. fecit."", ""J. Dehem"", ""J. David De Heem"", ""Deheeme"", ""de heem j.d."", ""J. D. Dehem"", ""jan davisz de hern"", ""Jean-David de Hem"", ""J. Davidz de Heem"", ""J.D. de Hemm"", ""de oude D'Heem"", ""jan davidz de heem"", ""david de heem"", ""J. D. Deheem"", ""Jean Dehem"", ""d'oude de Heem"", ""Johann David von Heem"", ""J.-D de Heem"", ""old Deheeme"", ""de oude de Heem"", ""John de Heem"", ""J. D. Deehem"", ""J. De Heem"", ""Joh. Dav. de Heem"", ""D. Heym"", ""de Heame"", ""J. D. D. Oude de Heem"", ""Jean de Hem"", ""Joh. de Heem"", ""J. de Herm"", ""jan davidsz heem"", ""Jan Davidse de Heem"", ""Joh. Dehéem"", ""Joh. Deheém"", ""J. D. D'Heem"", ""J. D'Hem"", ""J.-B. Dehem"", ""Jean David Deheem"", ""David de Heym"", ""T. D. Deheem"", ""Jean Dav. de Heem"", ""J. Deheem"", ""Davidsz de Heem"", ""Joh. David de Heem"", ""Johann David de Heem"", ""Joh. David de Héem"", ""I.D. Deheem"", ""Jean de Heem"", ""Jan Davidze de Heem"", ""B. Heem""]",father
In what city was Kalevi Kull born?,Tartu,"[""Tartu"", ""Dorpat"", ""Dörpt"", ""Derpt"", ""Tarbatu"", ""Jurjev"", ""Tartto"", ""Tartus""]",place of birth
Who was the screenwriter for Uzak?,Nuri Bilge Ceylan,"[""Nuri Bilge Ceylan""]",screenwriter
Who is the author of James Bond?,Ian Fleming,"[""Ian Fleming"", ""Ian Lancaster Fleming""]",author
What sport does FINA play?,open water swimming,"[""open water swimming"", ""water polo"", ""diving""]",sport
What is the capital of Centre?,Ouagadougou,"[""Ouagadougou""]",capital
What is the capital of Northwest Territories?,Yellowknife,"[""Yellowknife""]",capital
In what country is Seed 97.5 FM?,Thailand,"[""Thailand"", ""Kingdom of Thailand"", ""th"", ""Siam"", ""Land of Smiles"", ""THA""]",country
What is the capital of Othón P. Blanco Municipality?,Chetumal,"[""Chetumal"", ""Chetumal, Quintana Roo"", ""Chetumel""]",capital
What sport does National Stadium play?,association football,"[""association football"", ""football"", ""soccer""]",sport
Who is the author of Anything Goes?,Howard Lindsay,"[""Howard Lindsay"", ""Herman Nelke"", ""Russel Crouse"", ""P. G. Wodehouse"", ""Pelham Grenville Wodehouse"", ""Sir Pelham Grenville Wodehouse"", ""Guy Bolton"", ""H. B. Trevelyan"", ""Guy Reginald Bolton""]",author
What sport does Steve Tilson play?,association football,"[""association football"", ""football"", ""soccer""]",sport
Who is the author of A Good Year?,Peter Mayle,"[""Peter Mayle""]",author
Who was the producer of Housefull 2?,Sajid Nadiadwala,"[""Sajid Nadiadwala""]",producer
Who is the father of Peter II of Portugal?,John IV of Portugal,"[""John IV of Portugal""]",father
Who was the producer of Precious?,Lee Daniels,"[""Lee Daniels"", ""Lee Louis Daniels"", ""Oprah Winfrey"", ""Oprah Gail Winfrey"", ""Oprah"", ""Tyler Perry"", ""Emmitt Perry Jr.""]",producer
In what country is Kansas?,United States of America,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""the States"", ""'Merica"", ""United States"", ""'Murica""]",country
Who was the director of Alien?,Ridley Scott,"[""Ridley Scott"", ""Sir Ridley Scott""]",director
What sport does Giovanni Fanello play?,association football,"[""association football"", ""football"", ""soccer""]",sport
What sport does Stephen Connor play?,association football,"[""association football"", ""football"", ""soccer""]",sport
Who was the composer of Ruslan and Lyudmila?,Mikhail Glinka,"[""Mikhail Glinka"", ""Mikhail Ivanovich Glinka"", ""Michael Glinka""]",composer
Who was the director of The Commissioner?,George Sluizer,"[""George Sluizer""]",director
What is the capital of Bhutan?,Thimphu,"[""Thimphu"", ""Thimpu""]",capital
Who was the producer of Hot Rats?,Frank Zappa,"[""Frank Zappa"", ""Frank Vincent Zappa""]",producer
Who was the composer of Easy Money?,Laurence Rosenthal,"[""Laurence Rosenthal""]",composer
What sport does Danilinho play?,association football,"[""association football"", ""football"", ""soccer""]",sport
Who was the producer of The Descendants?,Alexander Payne,"[""Alexander Payne""]",producer
Who is the father of Prince Nikolai of Denmark?,Prince Joachim of Denmark,"[""Prince Joachim of Denmark"", ""Joachim Holger Waldemar Christian"", ""Joachim Holger Valdemar Christian, Prince of Denmark"", ""Prince Joachim of Denmark, Count of Monpezat""]",father
Who is the father of Ki?,Temmu,"[""Temmu"", ""Emperor Temmu"", ""Tenmu-tennō"", ""Tenmu"", ""Emperor Tenmu""]",father
Who was the screenwriter for Election?,Alexander Payne,"[""Alexander Payne""]",screenwriter
In what city was Cornelis Springer born?,Amsterdam,"[""Amsterdam"", ""Mokum"", ""Amsterdam, NL"", ""Amsterdam, Netherlands"", ""A'dam""]",place of birth
Who was the producer of City of God?,Walter Salles,"[""Walter Salles"", ""Walter Moreira Salles, Jr.""]",producer
In what country is Normal?,United States of America,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""the States"", ""'Merica"", ""United States"", ""'Murica""]",country
What is the capital of Swedish Pomerania?,Szczecin,"[""Szczecin"", ""Stettin"", ""Stralsund""]",capital
What sport does Tony Wagstaff play?,association football,"[""association football"", ""football"", ""soccer""]",sport
What is Quebec City the capital of?,Quebec,"[""Quebec"", ""Québec"", ""QC"", ""Province of Quebec"", ""Quebec, Canada"", ""Quebec Province""]",capital of
Who was the producer of Saw II?,Gregg Hoffman,"[""Gregg Hoffman"", ""Oren Koules"", ""Mark Burg"", ""Leigh Whannell""]",producer
Who was the composer of Sigappu Rojakkal?,Ilaiyaraaja,"[""Ilaiyaraaja"", ""Ilayaraja"", ""Ilaya Raja"", ""Raja""]",composer
Who was the director of Mac?,John Turturro,"[""John Turturro"", ""John Michael Turturro""]",director
Who was the screenwriter for The Reader?,David Hare,"[""David Hare"", ""Sir David Hare"", ""Bernhard Schlink""]",screenwriter
In what city was Hank Autry born?,Hattiesburg,"[""Hattiesburg"", ""Hattiesburg, Mississippi""]",place of birth
Who was the composer of Messa?,Giacomo Puccini,"[""Giacomo Puccini"", ""Puccini"", ""Giacomo Antonio Domenico Michele Secondo Maria Puccini""]",composer
Who was the composer of Norma?,Vincenzo Bellini,"[""Vincenzo Bellini"", ""Bellini"", ""Vincenzo Salvatore Carmelo Francesco Bellini""]",composer
What is the capital of Maitraka?,Vallabhipur,"[""Vallabhipur"", ""Vallabhi"", ""Vala""]",capital
What is Tyler the capital of?,Smith County,"[""Smith County"", ""Smith County, Texas""]",capital of
Who was the composer of Annie?,Charles Strouse,"[""Charles Strouse""]",composer
Who was the screenwriter for Another Year?,Mike Leigh,"[""Mike Leigh""]",screenwriter
Who was the screenwriter for The Passenger?,Mark Peploe,"[""Mark Peploe"", ""Michelangelo Antonioni"", ""An-tung-ni-ao-ni"", ""Peter Wollen""]",screenwriter
Who was the producer of Brothers?,Andy Lau,"[""Andy Lau"", ""Liu Dehua"", ""Lau Tak Wah"", ""Andy Lau Tak-wah""]",producer
What is Chester the capital of?,Kingdom of Gwynedd,"[""Kingdom of Gwynedd"", ""Gwynedd""]",capital of
In what country is Mas?,United States of America,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""the States"", ""'Merica"", ""United States"", ""'Murica""]",country
Who was the screenwriter for The Key?,Jan de Hartog,"[""Jan de Hartog"", ""F.R. Eckmar""]",screenwriter
What sport does Tom Jordan play?,association football,"[""association football"", ""football"", ""soccer""]",sport
Who is the author of Act One?,James Lapine,"[""James Lapine"", ""James Elliot Lapine""]",author
What is the capital of Nord?,Lille,"[""Lille"", ""Rijsel"", ""Lile"", ""Rysel""]",capital
In what country is Oxford?,United States of America,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""the States"", ""'Merica"", ""United States"", ""'Murica""]",country
What is the capital of Norway?,Oslo,"[""Oslo"", ""Christiania"", ""Kristiania"", ""NOOSL"", ""Oslo, Norway""]",capital
What is Harare the capital of?,Rhodesia,"[""Rhodesia"", ""Republic of Rhodesia"", ""Southern Rhodesia"", ""Zimbabwe"", ""Republic of Zimbabwe"", ""Zimbabwe Rhodesia"", ""zw"", ""ZIM""]",capital of
Who is the author of Utopia?,Thomas More,"[""Thomas More"", ""Sir Thomas More"", ""Saint Thomas More"", ""Thomas Morus"", ""Thomas, Saint More"", ""Thomas, Sir More""]",author
Who was the producer of Marc?,Muriel Young,"[""Muriel Young""]",producer
In what city was Frederick George Bromberg born?,New York City,"[""New York City"", ""NYC"", ""New York"", ""the five boroughs"", ""Big Apple"", ""City of New York"", ""NY City"", ""New York, New York"", ""New York City, New York"", ""New York, NY"", ""New York City (NYC)""]",place of birth
