question,correct_answer,possible_answers,type
What is Nancy Landon Kassebaum's occupation?,politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is Reinhold Mack's occupation?,audio engineer,"[""audio engineer"", ""recording engineer"", ""sound producer"", ""sound director"", ""sound engineer"", ""music engineer"", ""musical engineer"", ""record producer"", ""music producer"", ""composer""]",occupation
What is Del Quentin Wilber's occupation?,journalist,"[""journalist"", ""journo"", ""journalists""]",occupation
What is Pierre Pansu's occupation?,mathematician,"[""mathematician""]",occupation
What is Larry Coon's occupation?,computer scientist,"[""computer scientist""]",occupation
What is Masayoshi Nataniya's occupation?,politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is Leonida Tonelli's occupation?,mathematician,"[""mathematician""]",occupation
What is Judith Rakers's occupation?,journalist,"[""journalist"", ""journo"", ""journalists"", ""television presenter"", ""host"", ""hostess"", ""TV host"", ""television host"", ""TV presenter"", ""TV anchor"", ""television anchor""]",occupation
What is Hiroyuki Arai's occupation?,politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is Ernst Timme's occupation?,farmer,"[""farmer"", ""agriculturist"", ""grower"", ""raiser"", ""cultivator"", ""agriculturer"", ""farmer (occupation)"", ""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is Bill Kintner's occupation?,politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is Francesco Vettori's occupation?,diplomat,"[""diplomat""]",occupation
What is Melinda Mullins's occupation?,actor,"[""actor"", ""actress"", ""actors"", ""actresses""]",occupation
What is Tachibana no Moroe's occupation?,poet,"[""poet"", ""poetess"", ""bard""]",occupation
What is Susan Kent's occupation?,actor,"[""actor"", ""actress"", ""actors"", ""actresses""]",occupation
What is Meyer Lutz's occupation?,composer,"[""composer""]",occupation
What is Ludwig Lichtschein's occupation?,rabbi,"[""rabbi"", ""Rav""]",occupation
What is Will Smith's occupation?,record producer,"[""record producer"", ""music producer"", ""film director"", ""movie director"", ""director"", ""motion picture director"", ""film producer"", ""movie producer"", ""producer"", ""actor"", ""actress"", ""actors"", ""actresses""]",occupation
What is Marjorie Margolies-Mezvinsky's occupation?,journalist,"[""journalist"", ""journo"", ""journalists"", ""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is Władysław Sławny's occupation?,photographer,"[""photographer"", ""photog"", ""photographers""]",occupation
What is Pierre Chatenet's occupation?,politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is Friedrich Carl von Savigny's occupation?,jurist,"[""jurist""]",occupation
What is Luciano Vincenzoni's occupation?,screenwriter,"[""screenwriter"", ""scenarist"", ""writer"", ""screen writer"", ""script writer"", ""scriptwriter""]",occupation
What is Thandiswa Mazwai's occupation?,songwriter,"[""songwriter"", ""song writer""]",occupation
What is Ameer Sultan's occupation?,film director,"[""film director"", ""movie director"", ""director"", ""motion picture director"", ""actor"", ""actress"", ""actors"", ""actresses""]",occupation
What is Wenceslao Vinzons's occupation?,politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is Maurizio Belpietro's occupation?,journalist,"[""journalist"", ""journo"", ""journalists"", ""television presenter"", ""host"", ""hostess"", ""TV host"", ""television host"", ""TV presenter"", ""TV anchor"", ""television anchor""]",occupation
What is Dash's occupation?,record producer,"[""record producer"", ""music producer""]",occupation
What is Baton Haxhiu's occupation?,journalist,"[""journalist"", ""journo"", ""journalists""]",occupation
What is Johnson's occupation?,composer,"[""composer""]",occupation
What is Samuel Wells Williams's occupation?,missionary,"[""missionary"", ""Christian missionary""]",occupation
What is Walter Köbel's occupation?,politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is Debbie Johnson's occupation?,politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is John Scurti's occupation?,actor,"[""actor"", ""actress"", ""actors"", ""actresses""]",occupation
What is John Barnes's occupation?,monk,"[""monk"", ""monks""]",occupation
What is Kekko Fornarelli's occupation?,composer,"[""composer"", ""pianist""]",occupation
What is T Power's occupation?,record producer,"[""record producer"", ""music producer""]",occupation
What is Adil Shamoo's occupation?,biochemist,"[""biochemist"", ""biological chemist""]",occupation
What is Patrick Mulvany's occupation?,farmer,"[""farmer"", ""agriculturist"", ""grower"", ""raiser"", ""cultivator"", ""agriculturer"", ""farmer (occupation)"", ""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is Graham Collier's occupation?,composer,"[""composer"", ""bandleader"", ""Wind band conductor"", ""Harmony orchestra leader""]",occupation
What is Arcangelo Ghisleri's occupation?,journalist,"[""journalist"", ""journo"", ""journalists""]",occupation
What is Carlos María Ramírez's occupation?,journalist,"[""journalist"", ""journo"", ""journalists"", ""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is Tina Sloan's occupation?,actor,"[""actor"", ""actress"", ""actors"", ""actresses""]",occupation
What is Andrew Trischitta's occupation?,actor,"[""actor"", ""actress"", ""actors"", ""actresses""]",occupation
What is Gerard Kennedy's occupation?,actor,"[""actor"", ""actress"", ""actors"", ""actresses""]",occupation
What is Giora Godik's occupation?,impresario,"[""impresario"", ""Talent Manager""]",occupation
What is Lillian Lawrence's occupation?,actor,"[""actor"", ""actress"", ""actors"", ""actresses""]",occupation
What is Philip Rosenberg's occupation?,production designer,"[""production designer"", ""art director"", ""artistic coordinator""]",occupation
What is Sudarshan Faakir's occupation?,lyricist,"[""lyricist"", ""singer-lyricist""]",occupation
What is Shonali Bose's occupation?,film director,"[""film director"", ""movie director"", ""director"", ""motion picture director"", ""screenwriter"", ""scenarist"", ""writer"", ""screen writer"", ""script writer"", ""scriptwriter""]",occupation
What is Bruce Cockburn's occupation?,composer,"[""composer"", ""singer-songwriter"", ""singer songwriter"", ""singer/songwriter"", ""singersongwriter"", ""songwriter"", ""song writer""]",occupation
What is Archibald Thomas Pechey's occupation?,lyricist,"[""lyricist"", ""singer-lyricist""]",occupation
What is Thomas Challis's occupation?,politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is Mariana Vicente's occupation?,actor,"[""actor"", ""actress"", ""actors"", ""actresses""]",occupation
What is Huntington Wilson's occupation?,diplomat,"[""diplomat""]",occupation
What is Gaziza Zhubanova's occupation?,composer,"[""composer""]",occupation
What is Ek Yi Oun's occupation?,politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is Benjamin Mount's occupation?,record producer,"[""record producer"", ""music producer""]",occupation
What is Ivan Mládek's occupation?,composer,"[""composer"", ""songwriter"", ""song writer""]",occupation
What is Bala's occupation?,film director,"[""film director"", ""movie director"", ""director"", ""motion picture director"", ""screenwriter"", ""scenarist"", ""writer"", ""screen writer"", ""script writer"", ""scriptwriter""]",occupation
What is Steve Tom's occupation?,actor,"[""actor"", ""actress"", ""actors"", ""actresses""]",occupation
What is Ilja Rosendahl's occupation?,record producer,"[""record producer"", ""music producer"", ""actor"", ""actress"", ""actors"", ""actresses""]",occupation
What is Ron Nyswaner's occupation?,film director,"[""film director"", ""movie director"", ""director"", ""motion picture director"", ""screenwriter"", ""scenarist"", ""writer"", ""screen writer"", ""script writer"", ""scriptwriter""]",occupation
What is Thanasis Pafilis's occupation?,politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is Nicholas Sanduleak's occupation?,astronomer,"[""astronomer""]",occupation
What is Christopher Butson's occupation?,priest,"[""priest"", ""reverend"", ""priestess""]",occupation
What is Otto Frankel's occupation?,geneticist,"[""geneticist""]",occupation
What is Hate Man's occupation?,philosopher,"[""philosopher""]",occupation
What is Rich Brightman's occupation?,singer-songwriter,"[""singer-songwriter"", ""singer songwriter"", ""singer/songwriter"", ""singersongwriter""]",occupation
What is Mr. Porter's occupation?,record producer,"[""record producer"", ""music producer""]",occupation
What is Felix Walker's occupation?,politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is Javad Maroufi's occupation?,composer,"[""composer""]",occupation
What is Franz Seitz Sr.'s occupation?,film director,"[""film director"", ""movie director"", ""director"", ""motion picture director"", ""screenwriter"", ""scenarist"", ""writer"", ""screen writer"", ""script writer"", ""scriptwriter"", ""film producer"", ""movie producer"", ""producer""]",occupation
What is Chris Jericho's occupation?,actor,"[""actor"", ""actress"", ""actors"", ""actresses""]",occupation
What is Frederick Dundas's occupation?,politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is Aim's occupation?,disc jockey,"[""disc jockey"", ""DJ"", ""dee jay"", ""D.J."", ""disk jockey"", ""dee-jay"", ""deejay"", ""disquaire"", ""discaire""]",occupation
What is Nadia Giosia's occupation?,actor,"[""actor"", ""actress"", ""actors"", ""actresses""]",occupation
"What is Adele Capell, Countess of Essex's occupation?",socialite,"[""socialite"", ""prominent person""]",occupation
What is Edward Francis Hutton's occupation?,financier,"[""financier""]",occupation
What is Kanye West's occupation?,record producer,"[""record producer"", ""music producer"", ""songwriter"", ""song writer""]",occupation
What is Hawthorne James's occupation?,actor,"[""actor"", ""actress"", ""actors"", ""actresses""]",occupation
What is Sırrı Süreyya Önder's occupation?,film director,"[""film director"", ""movie director"", ""director"", ""motion picture director"", ""screenwriter"", ""scenarist"", ""writer"", ""screen writer"", ""script writer"", ""scriptwriter"", ""actor"", ""actress"", ""actors"", ""actresses"", ""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is Edward Norton's occupation?,politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is Linden Ashby's occupation?,actor,"[""actor"", ""actress"", ""actors"", ""actresses""]",occupation
What is Lord Frederick Spencer Hamilton's occupation?,politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is Ann Friedman's occupation?,journalist,"[""journalist"", ""journo"", ""journalists""]",occupation
What is Olav T. Laake's occupation?,politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is Carolyn Eisele's occupation?,mathematician,"[""mathematician""]",occupation
What is Jonathan Le Billon's occupation?,actor,"[""actor"", ""actress"", ""actors"", ""actresses""]",occupation
What is Mildred Okwo's occupation?,film director,"[""film director"", ""movie director"", ""director"", ""motion picture director""]",occupation
What is Eliza Lawrence's occupation?,politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is Charles Combe's occupation?,physician,"[""physician"", ""physicians"", ""medical doctor"", ""medical practitioner"", ""doctor"", ""medical doctors""]",occupation
What is GQ's occupation?,actor,"[""actor"", ""actress"", ""actors"", ""actresses""]",occupation
What is John D. Maurice's occupation?,journalist,"[""journalist"", ""journo"", ""journalists""]",occupation
What is Harvey Benge's occupation?,photographer,"[""photographer"", ""photog"", ""photographers""]",occupation
What is William Greaves's occupation?,film director,"[""film director"", ""movie director"", ""director"", ""motion picture director""]",occupation
What is David Joyce's occupation?,lawyer,"[""lawyer"", ""attorney"", ""solicitor"", ""barrister"", ""lawyers"", ""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is Emmanuel Nnamdi Uba's occupation?,politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is Zhu Houren's occupation?,actor,"[""actor"", ""actress"", ""actors"", ""actresses""]",occupation
What is Ayumi Hamasaki's occupation?,actor,"[""actor"", ""actress"", ""actors"", ""actresses"", ""singer-songwriter"", ""singer songwriter"", ""singer/songwriter"", ""singersongwriter"", ""songwriter"", ""song writer"", ""lyricist"", ""singer-lyricist""]",occupation
What is Kristina Lugn's occupation?,playwright,"[""playwright"", ""dramatist"", ""playwrite"", ""scriptwriter""]",occupation
What is Luca Coscioni's occupation?,economist,"[""economist"", ""economists"", ""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is Raymond S. Burton's occupation?,politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is Beth Hart's occupation?,singer-songwriter,"[""singer-songwriter"", ""singer songwriter"", ""singer/songwriter"", ""singersongwriter""]",occupation
What is Benazir Bhutto's occupation?,politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is Alan Huckle's occupation?,diplomat,"[""diplomat""]",occupation
What is Gunnar Uldall's occupation?,politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is Vishwanath Rao Ringe's occupation?,composer,"[""composer""]",occupation
What is Alfred Mombert's occupation?,poet,"[""poet"", ""poetess"", ""bard""]",occupation
What is Famke Janssen's occupation?,screenwriter,"[""screenwriter"", ""scenarist"", ""writer"", ""screen writer"", ""script writer"", ""scriptwriter"", ""actor"", ""actress"", ""actors"", ""actresses"", ""model"", ""fashion model"", ""sitter"", ""poser""]",occupation
What is Sylwester Braun's occupation?,photographer,"[""photographer"", ""photog"", ""photographers""]",occupation
What is Jack Mackenzie's occupation?,civil engineer,"[""civil engineer""]",occupation
What is Kiko Mizuhara's occupation?,actor,"[""actor"", ""actress"", ""actors"", ""actresses""]",occupation
