sample_id,question,correct_answer,possible_answers,model_answer,is_correct,type,layer,sae_release,sae_path,sae_feature_id,sae_feature_value,feature_rank,nonzero_feature_count,feature_norm
22,What is Babylon the capital of?,Achaemenid Empire,"[""Achaemenid Empire"", ""First Persian Empire"", ""Persian Empire"", ""Persia"", ""Achaemenid Persian Empire"", ""Persian Achaemenid Empire"", ""Achaemenid Persia"", ""Neo-Babylonian Empire""]",Babylon is the capital of Iraq.,False,capital of,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,3830,7.742378234863281,93,178,149.74581909179688
24,In what country is Kanaküla?,Estonia,"[""Estonia"", ""Republic of Estonia"", ""Estland"", ""Eesti"", ""ee"", ""EST""]",Estonia,True,country,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,3830,7.612888336181641,99,171,144.38417053222656
27,Who was the screenwriter for The Believer?,Henry Bean,"[""Henry Bean""]",David Mamet,False,screenwriter,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,3830,6.437825202941895,100,106,124.56539154052734
29,Who is the father of Bill Haas?,Jay Haas,"[""Jay Haas""]",Bill Haas’s father is Jerry Haas,False,father,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,3830,7.018946647644043,95,121,131.46435546875
30,In what city was Bruce Collie born?,Nuremberg,"[""Nuremberg"", ""Nürnberg"", ""Kreisfreie Stadt Nürnberg"", ""Nüremberg""]",London,False,place of birth,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,3830,8.541183471679688,71,172,148.58868408203125
31,Who was the producer of 2 On?,Jon Redwine,"[""Jon Redwine"", ""Mustard"", ""Dijon Isaiah McFarlane"", ""Dijon McFarlane"", ""DJ Mustard""]",2 On was produced by the late,False,producer,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,3830,7.327502727508545,86,130,129.266845703125
32,In what city was Raimonds Vilde born?,Riga,"[""Riga"", ""Rīga"", ""Ryga"", ""Rige"", ""Riia"", ""Rija"", ""Rīgõ""]",Riga,True,place of birth,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,3830,8.344532012939453,75,173,149.04766845703125
34,Who is the author of An Age?,Brian Aldiss,"[""Brian Aldiss"", ""Brian Wilson Aldiss"", ""Brian W. Aldiss"", ""Jael Cracken"", ""Dr. Peristyle"", ""C. C. Shackleton""]",John Steinbeck,False,author,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,3830,7.5459723472595215,93,155,140.35084533691406
35,In what city was Jurgis Karnavičius born?,Vilnius,"[""Vilnius"", ""Vilna"", ""Wilno"", ""Vilne"", ""Wilna"", ""Viļņa"", ""Vilnia"", ""Vilno"", ""Vilnyus""]",Vilnius,True,place of birth,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,3830,8.894519805908203,58,175,147.7596435546875
39,In what city was Léon-Lévy Brunswick born?,Paris,"[""Paris"", ""City of Light"", ""Paris, France""]",Paris,True,place of birth,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,3830,8.24262523651123,69,164,143.69989013671875
42,In what country is Williamson County?,United States of America,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""the States"", ""'Merica"", ""United States"", ""'Murica""]",United States,True,country,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,3830,7.606533050537109,99,176,147.86083984375
43,Who was the composer of Julie Johnson?,Angelo Badalamenti,"[""Angelo Badalamenti"", ""Andy Badale"", ""Angelo Badalmenti"", ""Angelo Daniel Badalamenti""]",Richard Rodgers,False,composer,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,3830,7.869072437286377,73,156,138.74072265625
44,Who is the author of The Outing?,James Baldwin,"[""James Baldwin"", ""James Arthur Baldwin""]",John Steinbeck,False,author,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,3830,8.220294952392578,65,140,136.87808227539062
46,In what city was Zara Turner born?,Belfast,"[""Belfast"", ""Béal Feirste"", ""Beal Feirste"", ""Belfast, Ireland""]",New York City,False,place of birth,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,3830,9.279426574707031,52,189,149.83326721191406
47,Who is the father of Abu Abdallah Mohammed II Saadi?,Abdallah al-Ghalib,"[""Abdallah al-Ghalib"", ""Abdallah al-Ghalib Saadi"", ""Abdallah al-Ghalib Billah""]",Abu Abdallah Mohammed II Saadi was,True,father,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,3830,8.082218170166016,68,152,139.6645050048828
49,What sport does earned run average play?,baseball,"[""baseball"", ""America's pastime""]",Baseball,True,sport,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,3830,8.149392127990723,74,183,142.1905975341797
50,What is The Valley the capital of?,Anguilla,"[""Anguilla"", ""ai""]",The Valley is the capital of the Kingdom,False,capital of,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,3830,7.680746078491211,98,202,156.72760009765625
51,Who was the director of Prag?,Ole Christian Madsen,"[""Ole Christian Madsen""]",A.K. Hangal,False,director,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,3830,7.489181518554687,74,141,133.76551818847656
64,Who is the father of Mojmir II?,Svatopluk I,"[""Svatopluk I""]",Mojmir II was the son of Moj,False,father,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,3830,8.966192245483398,45,153,138.5672149658203
68,In what city was David Holmes Black born?,Vancouver,"[""Vancouver"", ""City of Vancouver"", ""Vancouver, BC"", ""Vancouver, British Columbia""]",New York City,False,place of birth,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,3830,8.974034309387207,58,178,149.18572998046875
70,Who is the father of Michael VII Doukas?,Konstantinos X Doukas,"[""Konstantinos X Doukas"", ""Constantine X Ducas, Emperor of Constantinople""]",Michael V.,False,father,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,3830,8.129922866821289,63,144,137.40464782714844
71,Who was the director of In My Life?,Bille August,"[""Bille August""]",Michael Apted,False,director,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,3830,7.51285457611084,67,130,129.70591735839844
72,Who was the screenwriter for Bread and Circuses?,Gene Roddenberry,"[""Gene Roddenberry"", ""Eugene Wesley Roddenberry""]",John Patrick,False,screenwriter,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,3830,6.9021501541137695,95,122,127.51780700683594
73,Who was the director of Oliver's Story?,John Korty,"[""John Korty""]",John Huston,False,director,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,3830,7.856066703796387,63,132,132.00758361816406
76,Who was the composer of La permission de dix heures?,Jacques Offenbach,"[""Jacques Offenbach"", ""Offenbach""]",Jacques Offenbach,True,composer,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,3830,7.057122707366943,95,137,131.59713745117188
77,In what city was Charlie Davis born?,New York City,"[""New York City"", ""NYC"", ""New York"", ""the five boroughs"", ""Big Apple"", ""City of New York"", ""NY City"", ""New York, New York"", ""New York City, New York"", ""New York, NY"", ""New York City (NYC)""]",New York City,True,place of birth,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,3830,8.759920120239258,62,181,149.0576934814453
79,Who was the producer of The Assault?,Fons Rademakers,"[""Fons Rademakers""]",The Assault was produced by the British Broadcasting,False,producer,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,3830,6.884312152862549,86,118,128.79006958007812
81,What sport does Mario Rigamonti play?,association football,"[""association football"", ""football"", ""soccer""]",He plays the violin.,False,sport,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,3830,7.554553985595703,80,145,134.27682495117188
82,Who is the author of Hard Time?,Mary Skrenes,"[""Mary Skrenes""]",James Baldwin,False,author,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,3830,7.496367454528809,84,149,140.6907958984375
83,Who was the producer of For No One?,George Martin,"[""George Martin"", ""Sir George Henry Martin"", ""Sir George Martin""]",George Martin,True,producer,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,3830,7.081175804138184,89,132,133.76107788085938
85,Who is the author of Take a Good Look?,Jacqueline Wilson,"[""Jacqueline Wilson"", ""Dame Jacqueline Wilson""]",The author of Take a Good Look is,False,author,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,3830,7.971961498260498,71,154,139.96725463867188
