sample_id,question,correct_answer,model_answer,is_correct,type,layer,mean_similarity_same_correctness,mean_similarity_different_correctness,mean_similarity_same_type,mean_similarity_all_others
21,Who wrote The Trial?,Franz Kafka,Franz Kafka,True,author_medium,1,0.9973639249801636,0.9979962110519409,0.9990341663360596,0.997416615486145
22,Who wrote One Hundred Years of Solitude?,Gabriel Garcia Marquez,Gabriel Garcia Marquez,True,author_medium,1,0.9973594546318054,0.9979946613311768,0.9990196228027344,0.9974124431610107
23,Who wrote Things Fall Apart?,Chinua Achebe,Chinua Achebe,True,author_medium,1,0.9963375329971313,0.9972221851348877,0.9990631937980652,0.996411144733429
24,Who wrote The Stranger?,Albert Camus,Albert Camus,True,author_medium,1,0.9964175224304199,0.9973191022872925,0.9990736842155457,0.9964926838874817
25,Who wrote The Master and Margarita?,Mikhail Bulgakov,Mikhail Bulgakov,True,author_hard,1,0.9969746470451355,0.9977874755859375,0.9993155598640442,0.9970424175262451
26,Who wrote The Tale of Genji?,Murasaki Shikibu,Murasaki Shikibu,True,author_hard,1,0.9970798492431641,0.997786819934845,0.9992949366569519,0.9971387386322021
27,Who wrote Invisible Cities?,Italo Calvino,It was written by Italo Calvino.,True,author_hard,1,0.9963828921318054,0.9973042011260986,0.9991399645805359,0.9964595437049866
28,Who wrote The Dispossessed?,Ursula K Le Guin,Ursula K. Le Guin,True,author_hard,1,0.9973347187042236,0.9980455040931702,0.9993288516998291,0.9973938465118408
29,Who painted the Mona Lisa?,Leonardo da Vinci,Leonardo da Vinci,True,art_easy,1,0.9978751540184021,0.99782395362854,0.9993271827697754,0.9978709816932678
30,Who painted The Starry Night?,Vincent van Gogh,Vincent Van Gogh,True,art_easy,1,0.99798184633255,0.9981111884117126,0.9993271827697754,0.9979926347732544
31,Who painted Guernica?,Pablo Picasso,Pablo Picasso,True,art_medium,1,0.9977449178695679,0.9972718358039856,0.9985880851745605,0.9977055191993713
32,Who painted The Persistence of Memory?,Salvador Dali,Salvador Dali,True,art_medium,1,0.9979989528656006,0.9980702996253967,0.9988986253738403,0.9980048537254333
33,Who painted The Birth of Venus?,Sandro Botticelli,Sandro Botticelli,True,art_medium,1,0.9981421828269958,0.9979663491249084,0.9990519285202026,0.9981275200843811
34,Who painted Las Meninas?,Diego Velazquez,Diego Velazquez,True,art_hard,1,0.9981234073638916,0.997844934463501,0.9985932111740112,0.998100221157074
35,Who painted The Night Watch?,Rembrandt,Rembrandt,True,art_hard,1,0.9968045353889465,0.997334361076355,0.9981484413146973,0.9968488216400146
36,Who painted The Kiss?,Gustav Klimt,Gustav Klimt,True,art_hard,1,0.9979621171951294,0.9979031085968018,0.9989995956420898,0.9979572296142578
37,What is the chemical symbol for gold?,Au,Au,True,chemistry_easy,1,0.9979826807975769,0.9972659349441528,0.9998393058776855,0.997922956943512
38,What is the chemical symbol for water?,H2O,H2O,True,chemistry_easy,1,0.9975860118865967,0.9967687129974365,0.9998657703399658,0.9975178837776184
39,What is the chemical symbol for sodium?,Na,Na,True,chemistry_easy,1,0.9974812865257263,0.996619462966919,0.9998517036437988,0.997409462928772
40,What is the chemical symbol for potassium?,K,K,True,chemistry_easy,1,0.9976633787155151,0.9968705773353577,0.999833345413208,0.9975971579551697
41,What is the chemical symbol for tungsten?,W,W,True,chemistry_medium,1,0.9978688359260559,0.9972454905509949,0.9996828436851501,0.9978169202804565
42,What is the chemical symbol for silver?,Ag,Ag,True,chemistry_medium,1,0.9978371858596802,0.9970905780792236,0.9998252391815186,0.9977749586105347
43,What is the chemical symbol for lead?,Pb,Pb,True,chemistry_medium,1,0.9978500008583069,0.9972047805786133,0.9997677803039551,0.9977962970733643
44,What is the chemical symbol for mercury?,Hg,Hg,True,chemistry_medium,1,0.9976842999458313,0.9968816041946411,0.9998020529747009,0.9976174831390381
45,What is the chemical symbol for antimony?,Sb,Sb,True,chemistry_hard,1,0.9979640245437622,0.9972636699676514,0.9996310472488403,0.9979056715965271
46,What is the chemical symbol for tin?,Sn,Sn,True,chemistry_hard,1,0.9980673789978027,0.9975066781044006,0.9996310472488403,0.9980206489562988
47,What planet is known as the Red Planet?,Mars,Mars,True,science_easy,1,0.9978734850883484,0.9977047443389893,0.9984506368637085,0.9978594779968262
48,What is the largest planet in the Solar System?,Jupiter,Jupiter,True,science_easy,1,0.9979923963546753,0.9976542592048645,0.9990708231925964,0.9979642033576965
49,What gas do plants absorb from the atmosphere?,carbon dioxide,Carbon dioxide,True,science_easy,1,0.9977349042892456,0.997054398059845,0.999111533164978,0.9976782202720642
50,What is the closest planet to the Sun?,Mercury,Mercury,True,science_easy,1,0.9979044795036316,0.9973375797271729,0.999286949634552,0.9978572130203247
51,What is the hardest natural substance?,diamond,Diamond,True,science_medium,1,0.9972696304321289,0.9964284896850586,0.9988941550254822,0.9971995949745178
52,What is the SI unit of electric current?,ampere,Ampere,True,physics_medium,1,0.9971150159835815,0.9966098070144653,0.998066782951355,0.9970728754997253
53,Who developed the theory of relativity?,Albert Einstein,Albert Einstein,True,physics_easy,1,0.9971060156822205,0.9967212677001953,0.9989944100379944,0.9970738887786865
54,What is the atomic number of carbon?,6,6,True,science_easy,1,0.9975312948226929,0.9967667460441589,0.9991129636764526,0.997467577457428
55,What is the atomic number of oxygen?,8,8,True,science_easy,1,0.9973620772361755,0.9965523481369019,0.9990202188491821,0.9972946047782898
56,What is the atomic number of iron?,26,26,True,science_medium,1,0.9974838495254517,0.9966850280761719,0.9990574717521667,0.9974173307418823
57,What is the atomic number of gold?,79,79,True,science_medium,1,0.997798502445221,0.9970722198486328,0.9991028904914856,0.9977378845214844
58,What is the atomic number of uranium?,92,92,True,science_medium,1,0.9976075291633606,0.9968839287757874,0.9988633394241333,0.9975471496582031
59,What is the capital of Nauru?,Yaren,Yaren,True,capital_very_hard,1,0.9983168840408325,0.9979040622711182,0.998950183391571,0.9982825517654419
60,What is the capital of Tuvalu?,Funafuti,Funafuti,True,capital_very_hard,1,0.9980355501174927,0.9973503947257996,0.9985551834106445,0.9979784488677979
61,What is the capital of Kiribati?,South Tarawa,Tarawa,True,capital_very_hard,1,0.9983693957328796,0.9978415966033936,0.9990238547325134,0.9983252882957458
62,What is the capital of Palau?,Ngerulmud,Ngerulmud,True,capital_very_hard,1,0.9982351660728455,0.9975734353065491,0.9987561106681824,0.9981800317764282
63,What is the capital of Micronesia?,Palikir,Palikir,True,capital_very_hard,1,0.9982271194458008,0.997894287109375,0.9986881017684937,0.9981994032859802
64,What is the capital of Comoros?,Moroni,Moroni,True,capital_very_hard,1,0.998440682888031,0.9980326890945435,0.9989980459213257,0.9984066486358643
65,What is the capital of Eritrea?,Asmara,Asmara,True,capital_very_hard,1,0.9983162879943848,0.9979272484779358,0.9988569021224976,0.9982838034629822
66,What is the capital of Timor-Leste?,Dili,Dili,True,capital_very_hard,1,0.9956055283546448,0.995809018611908,0.996134340763092,0.9956225156784058
67,Who wrote Pedro Paramo?,Juan Rulfo,Juan Rulfo,True,author_very_hard,1,0.9971805810928345,0.9978042244911194,0.9989252090454102,0.9972326755523682
68,Who wrote The Book of Disquiet?,Fernando Pessoa,Fernando Pessoa,True,author_very_hard,1,0.9975922703742981,0.9981918334960938,0.9991824626922607,0.9976422190666199
69,Who wrote Season of Migration to the North?,Tayeb Salih,Wole Soyinka,False,author_very_hard,1,0.9972707629203796,0.9968768358230591,0.9989757537841797,0.996906042098999
70,Who wrote The Leopard?,Giuseppe Tomasi di Lampedusa,Giuseppe Tomasi di Lampedusa,True,author_very_hard,1,0.9968258738517761,0.9976536631584167,0.9991319179534912,0.996894896030426
71,Who painted The Garden of Earthly Delights?,Hieronymus Bosch,Hieronymus Bosch,True,art_very_hard,1,0.9980798363685608,0.9979298710823059,0.998742938041687,0.998067319393158
72,Who painted The Arnolfini Portrait?,Jan van Eyck,Jan van Eyck,True,art_very_hard,1,0.9978650212287903,0.9981028437614441,0.9988964796066284,0.9978847503662109
73,Who painted The Raft of the Medusa?,Theodore Gericault,Theodore Gericault,True,art_very_hard,1,0.9979108572006226,0.9979453682899475,0.9986029863357544,0.9979137182235718
74,Who discovered penicillin?,Alexander Fleming,Alexander Fleming,True,science_medium,1,0.997128963470459,0.9964972734451294,0.9986687898635864,0.9970763325691223
75,Who discovered the electron?,J J Thomson,J.J. Thomson,True,science_hard,1,0.9971674084663391,0.9964148998260498,0.999342679977417,0.9971047043800354
76,Who discovered the neutron?,James Chadwick,James Chadwick,True,science_hard,1,0.9978008270263672,0.9973106384277344,0.999342679977417,0.997759997844696
77,Who proposed the uncertainty principle?,Werner Heisenberg,Heisenberg,True,physics_medium,1,0.997527003288269,0.9971163868904114,0.9990332722663879,0.9974926710128784
78,Who wrote The Cairo Trilogy?,Naguib Mahfouz,Naguib Mahfouz,True,author_very_hard,1,0.9957219958305359,0.9968655705451965,0.9989643692970276,0.995817244052887
79,Who wrote The Bridge on the Drina?,Ivo Andric,Ivo Andric,True,author_very_hard,1,0.9960282444953918,0.9968947172164917,0.9984713196754456,0.9961005449295044
80,Who wrote The General in His Labyrinth?,Gabriel Garcia Marquez,John Buchan,False,author_very_hard,1,0.9973010420799255,0.9967373609542847,0.9988985657691956,0.996779203414917
81,Who wrote Ficciones?,Jorge Luis Borges,Jorge Luis Borges,True,author_very_hard,1,0.9969872236251831,0.9974794387817383,0.9981943368911743,0.9970282316207886
82,Who wrote The Blind Owl?,Sadegh Hedayat,Rainer Maria Rilke,False,author_very_hard,1,0.9974810481071472,0.9969003796577454,0.9992147088050842,0.9969434142112732
83,Who wrote The Museum of Innocence?,Orhan Pamuk,Orhan Pamuk,True,author_very_hard,1,0.9974657297134399,0.9981014728546143,0.9991061687469482,0.9975185990333557
84,Who wrote The Sound of the Mountain?,Yasunari Kawabata,The Sound of the Mountain was written by the famous Chinese writer Lu Xun.,False,author_very_hard,1,0.9981203675270081,0.9978820085525513,0.9989807605743408,0.9978996515274048
85,Who wrote The Makioka Sisters?,Junichiro Tanizaki,Junichiro Tanizaki,True,author_very_hard,1,0.9961808323860168,0.9971900582313538,0.9991053342819214,0.9962648749351501
86,Who wrote The Famished Road?,Ben Okri,Ben Okri,True,author_very_hard,1,0.9954529404640198,0.9966502785682678,0.998721182346344,0.9955527782440186
87,Who wrote The Palm-Wine Drinkard?,Amos Tutuola,Amos Tutuola,True,author_very_hard,1,0.996758759021759,0.9974921345710754,0.998895525932312,0.9968199729919434
88,Who painted The Third of May 1808?,Francisco Goya,Francisco Goya,True,art_very_hard,1,0.9974349737167358,0.9972392320632935,0.9979310035705566,0.9974186420440674
89,Who painted The Ambassadors?,Hans Holbein,Hans Holbein the Younger,True,art_very_hard,1,0.9979164004325867,0.9979479312896729,0.9986222386360168,0.997918963432312
90,Who painted The School of Athens?,Raphael,Raphael,True,art_very_hard,1,0.9979787468910217,0.9979962110519409,0.9988081455230713,0.9979802370071411
91,Who painted The Maids of Honour?,Diego Velazquez,John Everett Millais,False,art_very_hard,1,0.9975053071975708,0.9973706603050232,0.9984310865402222,0.997380793094635
92,Who painted The Gross Clinic?,Thomas Eakins,Edward Hopper,False,art_very_hard,1,0.9977783560752869,0.9980469346046448,0.9987732768058777,0.9980270862579346
93,Who painted Christina's World?,Andrew Wyeth,Andrew Wyeth,True,art_very_hard,1,0.9979994297027588,0.9978621602058411,0.9986793398857117,0.9979878664016724
94,Who discovered argon?,Lord Rayleigh,Sir William Ramsay,False,science_very_hard,1,0.996495246887207,0.9974214434623718,0.9987466931343079,0.9973528981208801
95,Who discovered radium?,Marie Curie,Marie Curie,True,science_medium,1,0.9975265860557556,0.9969056248664856,0.9990026354789734,0.9974749684333801
96,Who discovered the positron?,Carl Anderson,Carl Anderson,True,physics_very_hard,1,0.9977498054504395,0.9972053170204163,0.9991900324821472,0.9977043271064758
97,Who discovered the muon?,Carl Anderson,Wolfgang Pauli,False,physics_very_hard,1,0.9970654845237732,0.9977321624755859,0.9991900324821472,0.9976826906204224
98,Who proposed the exclusion principle?,Wolfgang Pauli,Ernest Rutherford,False,physics_medium,1,0.9967565536499023,0.9975324869155884,0.9989597797393799,0.9974750280380249
99,Who formulated the laws of planetary motion?,Johannes Kepler,Kepler,True,physics_easy,1,0.9979942440986633,0.9977213740348816,0.9989944100379944,0.9979714155197144
100,Who first proposed continental drift?,Alfred Wegener,Alfred Wegener,True,science_medium,1,0.9981704354286194,0.9978448152542114,0.9988848567008972,0.9981433153152466
101,Who developed the polio vaccine?,Jonas Salk,Jonas Salk,True,science_medium,1,0.9980255961418152,0.9976211190223694,0.998795211315155,0.9979919791221619
102,Who discovered streptomycin?,Selman Waksman,Selman Waksman,True,science_very_hard,1,0.9970858097076416,0.9965722560882568,0.9987466931343079,0.9970429539680481
103,What is the capital of Lesotho?,Maseru,Maseru,True,capital_hard,1,0.998176097869873,0.9974282383918762,0.9988023638725281,0.9981138706207275
104,What is the capital of Bhutan?,Thimphu,Thimphu,True,capital_hard,1,0.997805118560791,0.997131884098053,0.9990295171737671,0.9977490305900574
105,What is the capital of Suriname?,Paramaribo,Paramaribo,True,capital_hard,1,0.9981597065925598,0.9975978136062622,0.999172031879425,0.9981128573417664
106,What is the capital of Guyana?,Georgetown,Georgetown,True,capital_hard,1,0.9959956407546997,0.9959498643875122,0.9977424144744873,0.9959918260574341
107,What is the capital of Vanuatu?,Port Vila,Port Vila,True,capital_hard,1,0.9980213046073914,0.9976847767829895,0.9992322325706482,0.9979934096336365
108,What is the capital of Samoa?,Apia,Apia,True,capital_hard,1,0.998170018196106,0.997691810131073,0.9990556836128235,0.9981301426887512
0,What is the capital of France?,Paris,Paris,True,capital_easy,2,0.997036874294281,0.9960610866546631,0.9992900490760803,0.9969555139541626
1,What is the capital of Germany?,Berlin,Berlin,True,capital_easy,2,0.99698805809021,0.9961174726486206,0.9991713762283325,0.9969154596328735
2,What is the capital of Italy?,Rome,Rome,True,capital_easy,2,0.9970427751541138,0.9960987567901611,0.9992449283599854,0.996964156627655
3,What is the capital of Spain?,Madrid,Madrid,True,capital_easy,2,0.9968401193618774,0.9957842230796814,0.9991404414176941,0.9967520833015442
4,What is the capital of Turkey?,Ankara,Ankara,True,capital_easy,2,0.9964251518249512,0.9956874847412109,0.99840247631073,0.9963635206222534
5,What is the capital of Canada?,Ottawa,Ottawa,True,capital_easy,2,0.996864378452301,0.9959279298782349,0.9989047646522522,0.9967862367630005
6,What is the capital of Australia?,Canberra,Canberra,True,capital_easy,2,0.9966690540313721,0.9957342147827148,0.9988141655921936,0.9965910315513611
7,What is the capital of Brazil?,Brasilia,Brasilia,True,capital_easy,2,0.9971324801445007,0.9960963129997253,0.999253511428833,0.9970462322235107
8,What is the capital of Japan?,Tokyo,Tokyo,True,capital_easy,2,0.9970929622650146,0.9962847232818604,0.9990321397781372,0.9970256686210632
9,What is the capital of Egypt?,Cairo,Cairo,True,capital_easy,2,0.996970534324646,0.9958024621009827,0.9990687966346741,0.9968731999397278
10,What is the capital of Kazakhstan?,Astana,Astana,True,capital_medium,2,0.9952613711357117,0.994374692440033,0.9960614442825317,0.995187520980835
11,What is the capital of Mongolia?,Ulaanbaatar,Ulaanbaatar,True,capital_medium,2,0.9965552687644958,0.9955637454986572,0.9961414933204651,0.9964727759361267
12,What is the capital of Nigeria?,Abuja,Abuja,True,capital_medium,2,0.9919788241386414,0.9910187125205994,0.9934042692184448,0.9918988347053528
13,What is the capital of Myanmar?,Naypyidaw,Naypyidaw,True,capital_hard,2,0.9965704083442688,0.9953603744506836,0.9984082579612732,0.9964694380760193
14,What is the capital of Belize?,Belmopan,Belmopan,True,capital_hard,2,0.9953897595405579,0.9948283433914185,0.997553825378418,0.995343029499054
15,What is the capital of Burkina Faso?,Ouagadougou,Ouagadougou,True,capital_hard,2,0.9964023232460022,0.9954874515533447,0.9983236193656921,0.9963261485099792
16,What is the capital of Kyrgyzstan?,Bishkek,Bishkek,True,capital_hard,2,0.9964965581893921,0.9954007267951965,0.9980752468109131,0.9964051246643066
17,What is the capital of Montenegro?,Podgorica,Podgorica,True,capital_hard,2,0.9961884021759033,0.9953140616416931,0.9978366494178772,0.996115505695343
18,What is the capital of Eswatini?,Mbabane,Mbabane,True,capital_hard,2,0.9953488707542419,0.9941072463989258,0.9970986843109131,0.9952454566955566
19,Who wrote Hamlet?,William Shakespeare,William Shakespeare,True,author_easy,2,0.9943035244941711,0.9957957863807678,0.9983875155448914,0.9944278597831726
20,Who wrote Pride and Prejudice?,Jane Austen,Jane Austen,True,author_easy,2,0.9957938194274902,0.9968844652175903,0.9983875155448914,0.9958847165107727
21,Who wrote The Trial?,Franz Kafka,Franz Kafka,True,author_medium,2,0.9961405992507935,0.9972782135009766,0.9985178112983704,0.9962353706359863
22,Who wrote One Hundred Years of Solitude?,Gabriel Garcia Marquez,Gabriel Garcia Marquez,True,author_medium,2,0.995756208896637,0.9970023036003113,0.9983463287353516,0.9958599209785461
23,Who wrote Things Fall Apart?,Chinua Achebe,Chinua Achebe,True,author_medium,2,0.9945387244224548,0.9961236119270325,0.9982989430427551,0.9946707487106323
24,Who wrote The Stranger?,Albert Camus,Albert Camus,True,author_medium,2,0.9949759244918823,0.9965884685516357,0.9986160397529602,0.995110273361206
25,Who wrote The Master and Margarita?,Mikhail Bulgakov,Mikhail Bulgakov,True,author_hard,2,0.9956709146499634,0.9969723224639893,0.9979828000068665,0.9957793951034546
26,Who wrote The Tale of Genji?,Murasaki Shikibu,Murasaki Shikibu,True,author_hard,2,0.9954981803894043,0.9965859651565552,0.9977596402168274,0.9955889582633972
27,Who wrote Invisible Cities?,Italo Calvino,It was written by Italo Calvino.,True,author_hard,2,0.9948201775550842,0.9962825775146484,0.9977337718009949,0.9949420094490051
28,Who wrote The Dispossessed?,Ursula K Le Guin,Ursula K. Le Guin,True,author_hard,2,0.9939682483673096,0.9953867793083191,0.9971140027046204,0.9940864443778992
29,Who painted the Mona Lisa?,Leonardo da Vinci,Leonardo da Vinci,True,art_easy,2,0.9965818524360657,0.9970873594284058,0.9990159869194031,0.9966240525245667
30,Who painted The Starry Night?,Vincent van Gogh,Vincent Van Gogh,True,art_easy,2,0.9964162111282349,0.9972832798957825,0.9990159869194031,0.9964885115623474
31,Who painted Guernica?,Pablo Picasso,Pablo Picasso,True,art_medium,2,0.9965601563453674,0.9965342283248901,0.9972575902938843,0.9965579509735107
32,Who painted The Persistence of Memory?,Salvador Dali,Salvador Dali,True,art_medium,2,0.9954839944839478,0.9961857199668884,0.9972366094589233,0.9955424666404724
33,Who painted The Birth of Venus?,Sandro Botticelli,Sandro Botticelli,True,art_medium,2,0.9967679977416992,0.9970617294311523,0.9980888366699219,0.9967925548553467
34,Who painted Las Meninas?,Diego Velazquez,Diego Velazquez,True,art_hard,2,0.9968341588973999,0.9970610737800598,0.9984295964241028,0.9968531131744385
35,Who painted The Night Watch?,Rembrandt,Rembrandt,True,art_hard,2,0.9956839680671692,0.9969189763069153,0.9982700347900391,0.9957869648933411
36,Who painted The Kiss?,Gustav Klimt,Gustav Klimt,True,art_hard,2,0.9961591958999634,0.9969639182090759,0.9988534450531006,0.9962262511253357
37,What is the chemical symbol for gold?,Au,Au,True,chemistry_easy,2,0.9966307282447815,0.9956320524215698,0.9996801018714905,0.9965475797653198
38,What is the chemical symbol for water?,H2O,H2O,True,chemistry_easy,2,0.9960852861404419,0.9949260354042053,0.9997866153717041,0.9959886074066162
39,What is the chemical symbol for sodium?,Na,Na,True,chemistry_easy,2,0.9958194494247437,0.9945919513702393,0.9997682571411133,0.9957171082496643
40,What is the chemical symbol for potassium?,K,K,True,chemistry_easy,2,0.9960381984710693,0.9948603510856628,0.9997500777244568,0.9959401488304138
41,What is the chemical symbol for tungsten?,W,W,True,chemistry_medium,2,0.9960238337516785,0.9950313568115234,0.9995328783988953,0.995941162109375
42,What is the chemical symbol for silver?,Ag,Ag,True,chemistry_medium,2,0.9964221715927124,0.9953910112380981,0.9997265934944153,0.9963364005088806
43,What is the chemical symbol for lead?,Pb,Pb,True,chemistry_medium,2,0.9963878393173218,0.995492696762085,0.9996766448020935,0.9963131546974182
44,What is the chemical symbol for mercury?,Hg,Hg,True,chemistry_medium,2,0.9960486888885498,0.9948504567146301,0.9996531009674072,0.995948851108551
45,What is the chemical symbol for antimony?,Sb,Sb,True,chemistry_hard,2,0.9964191317558289,0.9953455328941345,0.9996312260627747,0.9963297247886658
46,What is the chemical symbol for tin?,Sn,Sn,True,chemistry_hard,2,0.9965575337409973,0.9956279397010803,0.9996312260627747,0.9964801073074341
47,What planet is known as the Red Planet?,Mars,Mars,True,science_easy,2,0.9968901872634888,0.9967410564422607,0.997769832611084,0.996877908706665
48,What is the largest planet in the Solar System?,Jupiter,Jupiter,True,science_easy,2,0.9965428113937378,0.9960301518440247,0.9983347058296204,0.9965000748634338
49,What gas do plants absorb from the atmosphere?,carbon dioxide,Carbon dioxide,True,science_easy,2,0.9962447881698608,0.9952427744865417,0.9982770681381226,0.9961613416671753
50,What is the closest planet to the Sun?,Mercury,Mercury,True,science_easy,2,0.9967115521430969,0.9959774017333984,0.9985777139663696,0.9966503977775574
51,What is the hardest natural substance?,diamond,Diamond,True,science_medium,2,0.9960485696792603,0.9950973987579346,0.9977013468742371,0.9959694147109985
52,What is the SI unit of electric current?,ampere,Ampere,True,physics_medium,2,0.9944748282432556,0.9932922720909119,0.9961133003234863,0.9943763017654419
53,Who developed the theory of relativity?,Albert Einstein,Albert Einstein,True,physics_easy,2,0.9956838488578796,0.9951982498168945,0.9984557032585144,0.9956433773040771
54,What is the atomic number of carbon?,6,6,True,science_easy,2,0.9955780506134033,0.9942919611930847,0.9983660578727722,0.9954708814620972
55,What is the atomic number of oxygen?,8,8,True,science_easy,2,0.9950279593467712,0.9934998750686646,0.998038649559021,0.9949005842208862
56,What is the atomic number of iron?,26,26,True,science_medium,2,0.9955607652664185,0.9942101240158081,0.9977750778198242,0.9954482913017273
57,What is the atomic number of gold?,79,79,True,science_medium,2,0.9958913922309875,0.9946590065956116,0.9977687001228333,0.9957886934280396
58,What is the atomic number of uranium?,92,92,True,science_medium,2,0.9956401586532593,0.9943703413009644,0.9975901246070862,0.995534360408783
59,What is the capital of Nauru?,Yaren,Yaren,True,capital_very_hard,2,0.9969306588172913,0.99616938829422,0.9985100626945496,0.9968672394752502
60,What is the capital of Tuvalu?,Funafuti,Funafuti,True,capital_very_hard,2,0.9967316389083862,0.9956328868865967,0.9982558488845825,0.9966400265693665
61,What is the capital of Kiribati?,South Tarawa,Tarawa,True,capital_very_hard,2,0.9968873858451843,0.99590003490448,0.9986067414283752,0.9968051910400391
62,What is the capital of Palau?,Ngerulmud,Ngerulmud,True,capital_very_hard,2,0.9971200227737427,0.9962043762207031,0.9984880089759827,0.9970436692237854
63,What is the capital of Micronesia?,Palikir,Palikir,True,capital_very_hard,2,0.9969971179962158,0.9963877201080322,0.998310387134552,0.996946394443512
64,What is the capital of Comoros?,Moroni,Moroni,True,capital_very_hard,2,0.9972370862960815,0.9964780807495117,0.9986045956611633,0.9971737861633301
65,What is the capital of Eritrea?,Asmara,Asmara,True,capital_very_hard,2,0.9963884949684143,0.9954605102539062,0.9980881810188293,0.9963111877441406
66,What is the capital of Timor-Leste?,Dili,Dili,True,capital_very_hard,2,0.9947996735572815,0.9946083426475525,0.9963946342468262,0.9947836399078369
67,Who wrote Pedro Paramo?,Juan Rulfo,Juan Rulfo,True,author_very_hard,2,0.995726466178894,0.9967172145843506,0.9978628754615784,0.995809018611908
68,Who wrote The Book of Disquiet?,Fernando Pessoa,Fernando Pessoa,True,author_very_hard,2,0.9957308769226074,0.9968534111976624,0.9980027675628662,0.99582439661026
69,Who wrote Season of Migration to the North?,Tayeb Salih,Wole Soyinka,False,author_very_hard,2,0.9958496689796448,0.9950912594795227,0.9974203705787659,0.9951474666595459
70,Who wrote The Leopard?,Giuseppe Tomasi di Lampedusa,Giuseppe Tomasi di Lampedusa,True,author_very_hard,2,0.9955113530158997,0.9968560338020325,0.9982548952102661,0.9956233501434326
71,Who painted The Garden of Earthly Delights?,Hieronymus Bosch,Hieronymus Bosch,True,art_very_hard,2,0.996818482875824,0.9972299933433533,0.9981926679611206,0.9968528747558594
72,Who painted The Arnolfini Portrait?,Jan van Eyck,Jan van Eyck,True,art_very_hard,2,0.9957107901573181,0.9967402219772339,0.9979633688926697,0.9957965016365051
73,Who painted The Raft of the Medusa?,Theodore Gericault,Theodore Gericault,True,art_very_hard,2,0.9963251948356628,0.9970490336418152,0.9979815483093262,0.9963855147361755
74,Who discovered penicillin?,Alexander Fleming,Alexander Fleming,True,science_medium,2,0.9954549670219421,0.9952449798583984,0.9971537590026855,0.995437502861023
