question,correct_answer,possible_answers,model_answer,is_correct,type
What is Babylon the capital of?,Achaemenid Empire,"[""Achaemenid Empire"", ""First Persian Empire"", ""Persian Empire"", ""Persia"", ""Achaemenid Persian Empire"", ""Persian Achaemenid Empire"", ""Achaemenid Persia"", ""Neo-Babylonian Empire""]",Babylon is the capital of Iraq.,False,capital of
Who was the director of Cotton Comes to Harlem?,Ossie Davis,"[""Ossie Davis"", ""Raiford Chatman Davis""]",Ossie Davis,True,director
In what country is Kanaküla?,Estonia,"[""Estonia"", ""Republic of Estonia"", ""Estland"", ""Eesti"", ""ee"", ""EST""]",Estonia,True,country
What is Vienna the capital of?,Holy Roman Empire,"[""Holy Roman Empire"", ""Holy Roman Empire of the German Nation"", ""First Reich"", ""Reich"", ""Austrian Empire"", ""Austria"", ""Habsburg Monarchy"", ""Habsburg Empire"", ""Austria-Hungary"", ""Austro-Hungarian Empire"", ""Dual Monarchy"", ""Österreich"", ""Republic of Austria"", ""Republik Österreich"", ""AT"", ""AUT"", ""Lower Austria"", ""Niederösterreich""]",Austria,True,capital of
Who was the composer of La bella dormente nel bosco?,Ottorino Respighi,"[""Ottorino Respighi""]",Gioachino Rossini,False,composer
Who was the screenwriter for The Believer?,Henry Bean,"[""Henry Bean""]",David Mamet,False,screenwriter
Who was the producer of Saw II?,Gregg Hoffman,"[""Gregg Hoffman"", ""Oren Koules"", ""Mark Burg"", ""Leigh Whannell""]",Oren Koules,True,producer
Who is the father of Bill Haas?,Jay Haas,"[""Jay Haas""]",Bill Haas’s father is Jerry Haas,False,father
In what city was Bruce Collie born?,Nuremberg,"[""Nuremberg"", ""Nürnberg"", ""Kreisfreie Stadt Nürnberg"", ""Nüremberg""]",London,False,place of birth
Who was the producer of 2 On?,Jon Redwine,"[""Jon Redwine"", ""Mustard"", ""Dijon Isaiah McFarlane"", ""Dijon McFarlane"", ""DJ Mustard""]",2 On was produced by the late,False,producer
In what city was Raimonds Vilde born?,Riga,"[""Riga"", ""Rīga"", ""Ryga"", ""Rige"", ""Riia"", ""Rija"", ""Rīgõ""]",Riga,True,place of birth
What is the capital of Sal?,Espargos,"[""Espargos""]",Sal is the capital of Sal.,False,capital
Who is the author of An Age?,Brian Aldiss,"[""Brian Aldiss"", ""Brian Wilson Aldiss"", ""Brian W. Aldiss"", ""Jael Cracken"", ""Dr. Peristyle"", ""C. C. Shackleton""]",John Steinbeck,False,author
In what city was Jurgis Karnavičius born?,Vilnius,"[""Vilnius"", ""Vilna"", ""Wilno"", ""Vilne"", ""Wilna"", ""Viļņa"", ""Vilnia"", ""Vilno"", ""Vilnyus""]",Vilnius,True,place of birth
Who was the composer of Fame?,Michael Gore,"[""Michael Gore""]",Michael Gore,True,composer
In what country is CIKR-FM?,Canada,"[""Canada"", ""Dominion of Canada"", ""British North America"", ""CAN"", ""CA""]",India,False,country
Who is the father of Carl Grimes?,Rick Grimes,"[""Rick Grimes""]",Rick Grimes,True,father
In what city was Léon-Lévy Brunswick born?,Paris,"[""Paris"", ""City of Light"", ""Paris, France""]",Paris,True,place of birth
Who was the composer of Halloween?,John Carpenter,"[""John Carpenter"", ""John Howard Carpenter""]",John Carpenter,True,composer
"What is the capital of Atenas, Alajuela, Costa Rica?",Atenas,"[""Atenas"", ""Atenas de Atenas""]",San Jose,False,capital
In what country is Williamson County?,United States of America,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""the States"", ""'Merica"", ""United States"", ""'Murica""]",United States,True,country
Who was the composer of Julie Johnson?,Angelo Badalamenti,"[""Angelo Badalamenti"", ""Andy Badale"", ""Angelo Badalmenti"", ""Angelo Daniel Badalamenti""]",Richard Rodgers,False,composer
Who is the author of The Outing?,James Baldwin,"[""James Baldwin"", ""James Arthur Baldwin""]",John Steinbeck,False,author
What is Hamilton the capital of?,Shire of Southern Grampians,"[""Shire of Southern Grampians"", ""Southern Grampians"", ""Southern Grampians Shire""]",New York,False,capital of
In what city was Zara Turner born?,Belfast,"[""Belfast"", ""Béal Feirste"", ""Beal Feirste"", ""Belfast, Ireland""]",New York City,False,place of birth
Who is the father of Abu Abdallah Mohammed II Saadi?,Abdallah al-Ghalib,"[""Abdallah al-Ghalib"", ""Abdallah al-Ghalib Saadi"", ""Abdallah al-Ghalib Billah""]",Abu Abdallah Mohammed II Saadi was,True,father
In what country is Australian Labor Party?,Australia,"[""Australia"", ""Commonwealth of Australia"", ""AU"", ""AUS"", ""British Colony of Australia"", ""Straya"", ""Aussieland""]",Australia,True,country
What sport does earned run average play?,baseball,"[""baseball"", ""America's pastime""]",Baseball,True,sport
What is The Valley the capital of?,Anguilla,"[""Anguilla"", ""ai""]",The Valley is the capital of the Kingdom,False,capital of
Who was the director of Prag?,Ole Christian Madsen,"[""Ole Christian Madsen""]",A.K. Hangal,False,director
Who was the director of In the Cut?,Jane Campion,"[""Jane Campion"", ""Elizabeth Jane Campion"", ""Dame Jane Campion"", ""Dame Elizabeth Jane Campion""]",Jane Campion,True,director
What is the capital of Connecticut?,Hartford,"[""Hartford"", ""Hartford, Connecticut""]",Hartford,True,capital
In what country is One Mile?,Australia,"[""Australia"", ""Commonwealth of Australia"", ""AU"", ""AUS"", ""British Colony of Australia"", ""Straya"", ""Aussieland""]",United States,False,country
Who was the director of Nashville?,Robert Altman,"[""Robert Altman""]",Robert Altman,True,director
Who was the screenwriter for Loop?,Tim Pears,"[""Tim Pears""]",David Koepp,False,screenwriter
Who is the author of Persuasion?,Jane Austen,"[""Jane Austen""]",Jane Austen,True,author
What is City of Brussels the capital of?,Flanders,"[""Flanders"", ""Flemish Region"", ""Vlaanderen"", ""Vlaams Gewest"", ""Brussels Capital Region"", ""Brussels Region"", ""Brussels"", ""BE-BRU"", ""Bruxelles-Capitale"", ""BXL"", ""20e"", ""04000"", ""BHG"", ""Brussel"", ""Brussels Gewest"", ""Bruxelles"", ""Brussel-Hoofdstad"", ""Région Bruxellois"", ""Belgium"", ""Kingdom of Belgium"", ""BEL"", ""be"", ""European Union"", ""EU"", ""Europe"", ""Union"", ""French Community of Belgium"", ""Fédération Wallonie-Bruxelles"", ""Wallonia-Brussels Federation"", ""Communauté française"", ""Franse Gemeenschap"", ""Federation Wallonie-Bruxelles"", ""Federation Wallonia-Brussels"", ""Flemish Community"", ""Vlaamse Gemeenschap""]",Belgium,True,capital of
Who is the author of The Wild Duck?,Henrik Ibsen,"[""Henrik Ibsen"", ""Henrik Johan Ibsen"", ""Henrich Johan Ibsen"", ""Henrich Ibsen""]",Henrik Ibsen,True,author
Who is the author of Darkfever?,Karen Marie Moning,"[""Karen Marie Moning""]",Karen Marie Moning,True,author
Who was the screenwriter for The Reader?,David Hare,"[""David Hare"", ""Sir David Hare"", ""Bernhard Schlink""]",David Hare,True,screenwriter
In what country is Ortiz Mountains?,United States of America,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""the States"", ""'Merica"", ""United States"", ""'Murica""]",Mexico,False,country
Who was the producer of Albert Schweitzer?,Jerome Hill,"[""Jerome Hill"", ""James Jerome Hill"", ""Jérôme Hill"", ""James Jerome Hill II""]",Frank Capra,False,producer
Who is the father of Mojmir II?,Svatopluk I,"[""Svatopluk I""]",Mojmir II was the son of Moj,False,father
What sport does Daigo Watanabe play?,association football,"[""association football"", ""football"", ""soccer""]",He plays baseball.,False,sport
What sport does 1899 Wisconsin Badgers football team play?,American football,"[""American football"", ""gridiron football"", ""football"", ""American rules football""]",Football,True,sport
Who is the author of Sweet Tooth?,Jeff Lemire,"[""Jeff Lemire""]",Jeff Lemire,True,author
In what city was David Holmes Black born?,Vancouver,"[""Vancouver"", ""City of Vancouver"", ""Vancouver, BC"", ""Vancouver, British Columbia""]",New York City,False,place of birth
What is the capital of Yukon?,Whitehorse,"[""Whitehorse"", ""Whitehorse, Yukon""]",Whitehorse,True,capital
Who is the father of Michael VII Doukas?,Konstantinos X Doukas,"[""Konstantinos X Doukas"", ""Constantine X Ducas, Emperor of Constantinople""]",Michael V.,False,father
Who was the director of In My Life?,Bille August,"[""Bille August""]",Michael Apted,False,director
Who was the screenwriter for Bread and Circuses?,Gene Roddenberry,"[""Gene Roddenberry"", ""Eugene Wesley Roddenberry""]",John Patrick,False,screenwriter
Who was the director of Oliver's Story?,John Korty,"[""John Korty""]",John Huston,False,director
Who was the director of Turbo?,David Soren,"[""David Soren""]",David Soren,True,director
Who was the producer of Avatar?,James Cameron,"[""James Cameron"", ""James Francis Cameron"", ""Jim Cameron""]",James Cameron,True,producer
Who was the composer of La permission de dix heures?,Jacques Offenbach,"[""Jacques Offenbach"", ""Offenbach""]",Jacques Offenbach,True,composer
In what city was Charlie Davis born?,New York City,"[""New York City"", ""NYC"", ""New York"", ""the five boroughs"", ""Big Apple"", ""City of New York"", ""NY City"", ""New York, New York"", ""New York City, New York"", ""New York, NY"", ""New York City (NYC)""]",New York City,True,place of birth
Who is the father of Indiana Jones?,Henry Jones,"[""Henry Jones"", ""Henry Walton Jones, Sr.""]",Harrison Ford,False,father
Who was the producer of The Assault?,Fons Rademakers,"[""Fons Rademakers""]",The Assault was produced by the British Broadcasting,False,producer
In what country is United States District Court for the District of South Carolina?,United States of America,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""the States"", ""'Merica"", ""United States"", ""'Murica""]",United States District Court for the District of,True,country
What sport does Mario Rigamonti play?,association football,"[""association football"", ""football"", ""soccer""]",He plays the violin.,False,sport
Who is the author of Hard Time?,Mary Skrenes,"[""Mary Skrenes""]",James Baldwin,False,author
Who was the producer of For No One?,George Martin,"[""George Martin"", ""Sir George Henry Martin"", ""Sir George Martin""]",George Martin,True,producer
In what country is Wellington?,United States of America,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""the States"", ""'Merica"", ""United States"", ""'Murica""]",New Zealand,False,country
Who is the author of Take a Good Look?,Jacqueline Wilson,"[""Jacqueline Wilson"", ""Dame Jacqueline Wilson""]",The author of Take a Good Look is,False,author
What sport does Tim Hoogland play?,association football,"[""association football"", ""football"", ""soccer""]",He plays basketball.,False,sport
Who was the director of The Judge?,David Dobkin,"[""David Dobkin"", ""Big Kid Pictures""]",David Dobkin,True,director
Who is the father of Selena Quintanilla?,"Abraham Quintanilla,","[""Abraham Quintanilla,"", ""Abraham Isaac Quintanilla""]",Abraham Quintanilla,True,father
What sport does VOKO-Irodion play?,volleyball,"[""volleyball""]",Football,False,sport
What is Adelaide the capital of?,South Australia,"[""South Australia"", ""SA"", ""S. Aust.""]",South Australia,True,capital of
Who was the screenwriter for The Naked Gun: From the Files of Police Squad!?,Pat Proft,"[""Pat Proft"", ""Jerry Zucker"", ""Jim Abrahams"", ""James S. Abrahams"", ""David Zucker""]",David Zucker,True,screenwriter
Who was the screenwriter for This Is the End?,Seth Rogen,"[""Seth Rogen"", ""Seth Aaron Rogen""]",Seth Rogen,True,screenwriter
Who is the author of Little Things?,Raymond Carver,"[""Raymond Carver""]",The author of Little Things is a famous,False,author
Who was the producer of The Terminal?,Steven Spielberg,"[""Steven Spielberg"", ""Steven Allan Spielberg"", ""Spielberg""]",Steven Spielberg,True,producer
Who is the father of Helen of Troy?,Zeus,"[""Zeus""]",Paris,False,father
In what city was Richie Ashburn born?,Tilden,"[""Tilden"", ""Tilden, Nebraska""]",Philadelphia,False,place of birth
Who was the composer of Four?,Eddie Vinson,"[""Eddie Vinson"", ""Eddie \""Cleanhead\"" Vinson""]",John Cage,False,composer
Who was the composer of This Is It?,Michael Jackson,"[""Michael Jackson"", ""MJ"", ""The King of Pop"", ""Michael Joe Jackson"", ""Michael Joseph Jackson"", ""King of Pop"", ""King of Music"", ""The King""]",Michael Jackson,True,composer
Who is the father of Alexander Graham Bell?,Alexander Melville Bell,"[""Alexander Melville Bell""]",Alexander Melville Bell,True,father
Who was the composer of The Heart of the World?,Georgy Sviridov,"[""Georgy Sviridov"", ""Georgiĭ Sviridov"", ""Georgiĭ Vasilʹevich Sviridov"", ""Georgy Vasilyevich Sviridov""]",John Williams,False,composer
Who was the director of The Lovers?,Tsui Hark,"[""Tsui Hark""]",Jean-Luc Godard,False,director
In what country is Eastern United States?,United States of America,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""the States"", ""'Merica"", ""United States"", ""'Murica""]",United States,True,country
Who is the author of Britannicus?,Jean Racine,"[""Jean Racine"", ""Jean Baptiste Racine""]",Racine,True,author
Who was the director of In the Bedroom?,Todd Field,"[""Todd Field"", ""William Todd Field""]",Todd Field,True,director
Who is the father of Matilda of Scotland?,Malcolm III of Scotland,"[""Malcolm III of Scotland"", ""Malcolm Canmore""]",King Malcolm III of Scotland,True,father
In what city was Naziah Ali born?,Fiji,"[""Fiji"", ""Republic of Fiji"", ""fj"", ""FIJ"", ""Republic of the Fiji Islands""]",New York City,False,place of birth
Who was the director of The Job?,Ken Kwapis,"[""Ken Kwapis"", ""Kenneth William Kwapis""]",John Dahl,False,director
Who was the screenwriter for Secrets?,Angela Kang,"[""Angela Kang""]",John Sayles,False,screenwriter
What is Gap the capital of?,Hautes-Alpes,"[""Hautes-Alpes""]",Gap the capital of is the capital of,False,capital of
What is the capital of South Georgia and the South Sandwich Islands?,King Edward Point,"[""King Edward Point"", ""KEP""]",King Edward Point,True,capital
Who was the screenwriter for Elizabeth?,Michael Hirst,"[""Michael Hirst""]",Michael Hirst,True,screenwriter
Who was the director of Dil?,Indra Kumar,"[""Indra Kumar""]",Rajkumar Hirani,True,director
In what country is Fin?,Iran,"[""Iran"", ""Islamic Republic of Iran"", ""Persia"", ""ir"", ""Islamic Rep. Iran""]",Finland,False,country
What is Hun the capital of?,Jufra,"[""Jufra"", ""Jofra""]",Hun is the capital of the country of,False,capital of
What is Stockholm the capital of?,Stockholm County,"[""Stockholm County"", ""Stockholms län"", ""Sweden"", ""Kingdom of Sweden"", ""SE"", ""SWE"", ""Stockholm Municipality"", ""City of Stockholm"", ""Stockholms stad"", ""Union between Sweden and Norway"", ""Svensk-norska unionen"", ""Den svensk-norske union"", ""Sweden-Norway""]",Sweden,True,capital of
Who was the screenwriter for The Intern?,Nancy Meyers,"[""Nancy Meyers"", ""Nancy Jane Meyers""]",Nancy Meyers,True,screenwriter
Who was the director of Mel?,Joey Travolta,"[""Joey Travolta"", ""Joseph Allen Travolta""]",Mel Gibson,False,director
In what city was Gaston-François de Witte born?,Antwerp,"[""Antwerp"", ""Antwerpen"", ""City of Antwerp"", ""Anvers""]",Paris,False,place of birth
Who is the father of Dahyabhai Patel?,Vallabhbhai Patel,"[""Vallabhbhai Patel"", ""Sardar Patel"", ""Sardar Vallabhbhai Jhaverbhai Patel"", ""Bismarck of India"", ""Iron Man of India"", ""Unifier of India"", ""Sardar Vallabhbhai Patel""]",He is the father of Dahyabhai,False,father
In what country is Volvic?,France,"[""France"", ""fr"", ""République française"", ""La France"", ""Republic of France"", ""French Republic"", ""FRA"", ""the Hexagon""]",France,True,country
Who is the father of Cornelis de Heem?,Jan Davidsz. de Heem,"[""Jan Davidsz. de Heem"", ""Jan Davidszoon De Heem"", ""Jan de Heem"", ""Jan David de Heem"", ""John David de Haem"", ""Monsù Gem Fiammengo"", ""Jan Davidsz. De Hume"", ""Jan Davidsz. De Heen"", ""He Heem"", ""Jan D. Heem"", ""Jan Davidsz. Ditteems"", ""Jan van Heem"", ""Jan Davidts de Heem"", ""Jan Davidsz. De Hum"", ""Jan Davidsz. Deheem"", ""Jan Davidsz. De Heeme"", ""Jan Davidsz. de, I Heem"", ""Jan Davidsz. vander Eem"", ""Jan Davidsz. D'Heem de Oude"", ""Jan Davidsz. Deheim"", ""Jan Davidsz. Deheme"", ""D. Heem"", ""Jan Davidsz. De Hemee"", ""Jan Davidsz. van Heem"", ""Jan Davidsz. de Hemm"", ""Jan Davidsz. de Heem de Oude"", ""Jan Davidsz. Deehem"", ""I. D. De Heem"", ""Jan Davidsz. De Heme"", ""Johan de Heem"", ""John David de Haeem"", ""John David de Heem"", ""Jan Davidsz. De Hem"", ""Jan Davidsz. Du Hem"", ""Jan Davidsz. Dahem"", ""Johannes de Heem"", ""Jan Davidtsz. van Antwerpen"", ""Johannes van Antwerpen"", ""I. de Heem"", ""Monsu Gem Fiammengo"", ""Jan Davisz de Heem"", ""Jean David Dehem"", ""Jan Davids de Heem"", ""J. David Deheem"", ""Jan de Hoem"", ""heem jan davidz de"", ""de heem jan davidcz"", ""le grand-père de David Dekene"", ""Jean David De Heem"", ""Jean Deheem"", ""J. Heen"", ""de Hern"", ""Johann Heem"", ""Jan Dav. De Heem"", ""J. D'Heem"", ""Old Deheem"", ""Jan Davidsen de Heem"", ""J.D. de Heem. fecit."", ""J. Dehem"", ""J. David De Heem"", ""Deheeme"", ""de heem j.d."", ""J. D. Dehem"", ""jan davisz de hern"", ""Jean-David de Hem"", ""J. Davidz de Heem"", ""J.D. de Hemm"", ""de oude D'Heem"", ""jan davidz de heem"", ""david de heem"", ""J. D. Deheem"", ""Jean Dehem"", ""d'oude de Heem"", ""Johann David von Heem"", ""J.-D de Heem"", ""old Deheeme"", ""de oude de Heem"", ""John de Heem"", ""J. D. Deehem"", ""J. De Heem"", ""Joh. Dav. de Heem"", ""D. Heym"", ""de Heame"", ""J. D. D. Oude de Heem"", ""Jean de Hem"", ""Joh. de Heem"", ""J. de Herm"", ""jan davidsz heem"", ""Jan Davidse de Heem"", ""Joh. Dehéem"", ""Joh. Deheém"", ""J. D. D'Heem"", ""J. D'Hem"", ""J.-B. Dehem"", ""Jean David Deheem"", ""David de Heym"", ""T. D. Deheem"", ""Jean Dav. de Heem"", ""J. Deheem"", ""Davidsz de Heem"", ""Joh. David de Heem"", ""Johann David de Heem"", ""Joh. David de Héem"", ""I.D. Deheem"", ""Jean de Heem"", ""Jan Davidze de Heem"", ""B. Heem""]",Cornelis de Heem was the son,False,father
In what city was Kalevi Kull born?,Tartu,"[""Tartu"", ""Dorpat"", ""Dörpt"", ""Derpt"", ""Tarbatu"", ""Jurjev"", ""Tartto"", ""Tartus""]",Helsinki,False,place of birth
Who was the screenwriter for Uzak?,Nuri Bilge Ceylan,"[""Nuri Bilge Ceylan""]",Uzak was written by the famous Turkish,False,screenwriter
Who is the author of James Bond?,Ian Fleming,"[""Ian Fleming"", ""Ian Lancaster Fleming""]",Ian Fleming,True,author
What sport does FINA play?,open water swimming,"[""open water swimming"", ""water polo"", ""diving""]",Water Polo,True,sport
What is the capital of Centre?,Ouagadougou,"[""Ouagadougou""]",New Delhi,False,capital
What is the capital of Northwest Territories?,Yellowknife,"[""Yellowknife""]",Yellowknife,True,capital
In what country is Seed 97.5 FM?,Thailand,"[""Thailand"", ""Kingdom of Thailand"", ""th"", ""Siam"", ""Land of Smiles"", ""THA""]",The Philippines,True,country
What is the capital of Othón P. Blanco Municipality?,Chetumal,"[""Chetumal"", ""Chetumal, Quintana Roo"", ""Chetumel""]",San Juan,False,capital
What sport does National Stadium play?,association football,"[""association football"", ""football"", ""soccer""]",Football,True,sport
Who is the author of Anything Goes?,Howard Lindsay,"[""Howard Lindsay"", ""Herman Nelke"", ""Russel Crouse"", ""P. G. Wodehouse"", ""Pelham Grenville Wodehouse"", ""Sir Pelham Grenville Wodehouse"", ""Guy Bolton"", ""H. B. Trevelyan"", ""Guy Reginald Bolton""]",Cole Porter,False,author
What sport does Steve Tilson play?,association football,"[""association football"", ""football"", ""soccer""]",He plays the game of life.,False,sport
Who is the author of A Good Year?,Peter Mayle,"[""Peter Mayle""]",Peter Mayle,True,author
Who was the producer of Housefull 2?,Sajid Nadiadwala,"[""Sajid Nadiadwala""]",Sajid Nadiadwala,True,producer
Who is the father of Peter II of Portugal?,John IV of Portugal,"[""John IV of Portugal""]",King John I of Portugal,True,father
Who was the producer of Precious?,Lee Daniels,"[""Lee Daniels"", ""Lee Louis Daniels"", ""Oprah Winfrey"", ""Oprah Gail Winfrey"", ""Oprah"", ""Tyler Perry"", ""Emmitt Perry Jr.""]",Lee Daniels,True,producer
In what country is Kansas?,United States of America,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""the States"", ""'Merica"", ""United States"", ""'Murica""]",United States,True,country
Who was the director of Alien?,Ridley Scott,"[""Ridley Scott"", ""Sir Ridley Scott""]",Ridley Scott,True,director
What sport does Giovanni Fanello play?,association football,"[""association football"", ""football"", ""soccer""]",He plays soccer.,True,sport
What sport does Stephen Connor play?,association football,"[""association football"", ""football"", ""soccer""]",Football,True,sport
Who was the composer of Ruslan and Lyudmila?,Mikhail Glinka,"[""Mikhail Glinka"", ""Mikhail Ivanovich Glinka"", ""Michael Glinka""]",Mikhail Glinka,True,composer
Who was the director of The Commissioner?,George Sluizer,"[""George Sluizer""]",John Huston,False,director
What is the capital of Bhutan?,Thimphu,"[""Thimphu"", ""Thimpu""]",Thimphu,True,capital
Who was the producer of Hot Rats?,Frank Zappa,"[""Frank Zappa"", ""Frank Vincent Zappa""]",Frank Zappa,True,producer
Who was the composer of Easy Money?,Laurence Rosenthal,"[""Laurence Rosenthal""]",John Williams,False,composer
What sport does Danilinho play?,association football,"[""association football"", ""football"", ""soccer""]",Football,True,sport
Who was the producer of The Descendants?,Alexander Payne,"[""Alexander Payne""]",Alexander Payne,True,producer
Who is the father of Prince Nikolai of Denmark?,Prince Joachim of Denmark,"[""Prince Joachim of Denmark"", ""Joachim Holger Waldemar Christian"", ""Joachim Holger Valdemar Christian, Prince of Denmark"", ""Prince Joachim of Denmark, Count of Monpezat""]",Prince Joachim of Denmark,True,father
Who is the father of Ki?,Temmu,"[""Temmu"", ""Emperor Temmu"", ""Tenmu-tennō"", ""Tenmu"", ""Emperor Tenmu""]",Ki is the son of the god of,False,father
Who was the screenwriter for Election?,Alexander Payne,"[""Alexander Payne""]",Alexander Payne,True,screenwriter
In what city was Cornelis Springer born?,Amsterdam,"[""Amsterdam"", ""Mokum"", ""Amsterdam, NL"", ""Amsterdam, Netherlands"", ""A'dam""]",Amsterdam,True,place of birth
Who was the producer of City of God?,Walter Salles,"[""Walter Salles"", ""Walter Moreira Salles, Jr.""]",Fernando Meirelles,False,producer
In what country is Normal?,United States of America,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""the States"", ""'Merica"", ""United States"", ""'Murica""]",France,False,country
What is the capital of Swedish Pomerania?,Szczecin,"[""Szczecin"", ""Stettin"", ""Stralsund""]",Stockholm,False,capital
What sport does Tony Wagstaff play?,association football,"[""association football"", ""football"", ""soccer""]",Rugby,False,sport
What is Quebec City the capital of?,Quebec,"[""Quebec"", ""Québec"", ""QC"", ""Province of Quebec"", ""Quebec, Canada"", ""Quebec Province""]",Quebec,True,capital of
Who was the producer of Saw II?,Gregg Hoffman,"[""Gregg Hoffman"", ""Oren Koules"", ""Mark Burg"", ""Leigh Whannell""]",Oren Koules,True,producer
Who was the composer of Sigappu Rojakkal?,Ilaiyaraaja,"[""Ilaiyaraaja"", ""Ilayaraja"", ""Ilaya Raja"", ""Raja""]",Ilayaraja,True,composer
Who was the director of Mac?,John Turturro,"[""John Turturro"", ""John Michael Turturro""]",John Landis,False,director
Who was the screenwriter for The Reader?,David Hare,"[""David Hare"", ""Sir David Hare"", ""Bernhard Schlink""]",David Hare,True,screenwriter
