sample_id,question,correct_answer,model_answer,is_correct,type,layer,activation_mean,activation_std,activation_norm,activation_max,activation_min
13,Who was the director of The Doors?,Oliver Stone,Oliver Stone,True,director,2,-0.01963135227560997,1.1980489492416382,57.50159454345703,35.21875,-13.296875
13,Who was the director of The Doors?,Oliver Stone,Oliver Stone,True,director,3,-0.03881022706627846,1.119085669517517,53.73675537109375,16.15625,-9.90625
14,Who was the composer of The Mission?,Ennio Morricone,Gabriel Fauré,False,composer,1,-0.0391697883605957,1.0974764823913574,52.70099639892578,8.1875,-26.4375
14,Who was the composer of The Mission?,Ennio Morricone,Gabriel Fauré,False,composer,2,-0.018333405256271362,1.2073493003845215,57.946876525878906,35.34375,-13.46875
14,Who was the composer of The Mission?,Ennio Morricone,Gabriel Fauré,False,composer,3,-0.03722681477665901,1.1152100563049316,53.548282623291016,16.3125,-9.9140625
15,Who was the director of Nashville?,Robert Altman,Robert Altman,True,director,1,-0.03972207009792328,1.0883713960647583,52.265289306640625,7.69140625,-25.9375
15,Who was the director of Nashville?,Robert Altman,Robert Altman,True,director,2,-0.02117171511054039,1.1919468641281128,57.21006774902344,34.8125,-13.046875
15,Who was the director of Nashville?,Robert Altman,Robert Altman,True,director,3,-0.03983399644494057,1.121997356414795,53.87812805175781,16.4375,-9.828125
16,Who is the author of The Wild Duck?,Henrik Ibsen,Henrik Ibsen,True,author,1,-0.038477573543787,1.1012375354766846,52.88020706176758,8.4921875,-26.65625
16,Who is the author of The Wild Duck?,Henrik Ibsen,Henrik Ibsen,True,author,2,-0.01725458726286888,1.2100578546524048,58.07607650756836,35.4375,-13.671875
16,Who is the author of The Wild Duck?,Henrik Ibsen,Henrik Ibsen,True,author,3,-0.03887484595179558,1.1163034439086914,53.603424072265625,16.21875,-10.0546875
17,In what city was Gintautas Umaras born?,Kaunas,Kaunas,True,place of birth,1,-0.04199294000864029,1.1047743558883667,53.05596923828125,9.40625,-26.421875
17,In what city was Gintautas Umaras born?,Kaunas,Kaunas,True,place of birth,2,-0.02258068323135376,1.2100958824157715,58.082122802734375,35.8125,-12.5234375
17,In what city was Gintautas Umaras born?,Kaunas,Kaunas,True,place of birth,3,-0.04096592590212822,1.1381527185440063,54.65485763549805,15.5390625,-10.046875
18,Who is the author of Detective?,Arthur Hailey,Agatha Christie,False,author,1,-0.039447084069252014,1.104786992073059,53.05207824707031,8.671875,-26.78125
18,Who is the author of Detective?,Arthur Hailey,Agatha Christie,False,author,2,-0.01784106157720089,1.213013768196106,58.21833801269531,35.40625,-13.984375
18,Who is the author of Detective?,Arthur Hailey,Agatha Christie,False,author,3,-0.039037059992551804,1.122307300567627,53.89165496826172,16.15625,-9.96875
19,Who was the composer of Imagine?,John Lennon,John Lennon,True,composer,1,-0.03955124318599701,1.1014587879180908,52.892635345458984,8.1953125,-26.484375
19,Who was the composer of Imagine?,John Lennon,John Lennon,True,composer,2,-0.019292473793029785,1.205344796180725,57.851417541503906,35.25,-13.53125
19,Who was the composer of Imagine?,John Lennon,John Lennon,True,composer,3,-0.03786396235227585,1.1197181940078735,53.765533447265625,15.875,-10.015625
20,In what city was Kalevi Kull born?,Tartu,Helsinki,False,place of birth,1,-0.041133537888526917,1.1015352010726929,52.89908218383789,8.984375,-26.453125
20,In what city was Kalevi Kull born?,Tartu,Helsinki,False,place of birth,2,-0.021452320739626884,1.202565312385559,57.71979522705078,35.125,-12.8359375
20,In what city was Kalevi Kull born?,Tartu,Helsinki,False,place of birth,3,-0.04233762249350548,1.1310608386993408,54.31716537475586,14.96875,-9.9140625
21,Who was the composer of Fame?,Michael Gore,Michael Gore,True,composer,1,-0.040541451424360275,1.0959466695785522,52.630008697509766,8.2109375,-26.1875
21,Who was the composer of Fame?,Michael Gore,Michael Gore,True,composer,2,-0.021196629852056503,1.2066600322723389,57.916046142578125,35.1875,-13.5859375
21,Who was the composer of Fame?,Michael Gore,Michael Gore,True,composer,3,-0.03910582885146141,1.1189476251602173,53.730628967285156,16.40625,-9.8984375
22,Who is the author of Memory?,Poul Anderson,James Salter,False,author,1,-0.03872831538319588,1.103360652923584,52.982444763183594,8.4921875,-26.53125
22,Who is the author of Memory?,Poul Anderson,James Salter,False,author,2,-0.01657942868769169,1.2170206308364868,58.40972900390625,35.65625,-13.5703125
22,Who is the author of Memory?,Poul Anderson,James Salter,False,author,3,-0.038410887122154236,1.1199277639389038,53.7764892578125,16.21875,-9.9765625
23,Who was the director of Alone?,Parkpoom Wongpoom,John Dahl,False,director,1,-0.03862607106566429,1.0957105159759521,52.61537170410156,8.1796875,-26.28125
23,Who was the director of Alone?,Parkpoom Wongpoom,John Dahl,False,director,2,-0.01768181473016739,1.2010834217071533,57.64574432373047,35.0625,-13.5390625
23,Who was the director of Alone?,Parkpoom Wongpoom,John Dahl,False,director,3,-0.03730402886867523,1.1234251260757446,53.94243621826172,16.171875,-9.84375
24,Who is the father of Kim Kardashian?,Robert Kardashian,Robert Kardashian,True,father,1,-0.03948991000652313,1.0961765050888062,52.63920211791992,8.8203125,-26.234375
24,Who is the father of Kim Kardashian?,Robert Kardashian,Robert Kardashian,True,father,2,-0.021312475204467773,1.1982545852661133,57.51284408569336,34.96875,-13.125
24,Who is the father of Kim Kardashian?,Robert Kardashian,Robert Kardashian,True,father,3,-0.04173624515533447,1.1231147050857544,53.93503189086914,16.09375,-9.9765625
25,Who was the director of Redemption?,Jon Alpert,John Woo,False,director,1,-0.039373815059661865,1.0915827751159668,52.41868591308594,8.09375,-25.9375
25,Who was the director of Redemption?,Jon Alpert,John Woo,False,director,2,-0.019959937781095505,1.2022746801376343,57.704620361328125,35.03125,-13.3984375
25,Who was the director of Redemption?,Jon Alpert,John Woo,False,director,3,-0.03911500424146652,1.1297953128814697,54.25090408325195,16.53125,-9.8203125
26,Who was the producer of Hot Rats?,Frank Zappa,Frank Zappa,True,producer,1,-0.03910588473081589,1.1005747318267822,52.84947967529297,8.75,-26.4375
26,Who was the producer of Hot Rats?,Frank Zappa,Frank Zappa,True,producer,2,-0.01931280829012394,1.2085912227630615,58.0072021484375,35.4375,-13.375
26,Who was the producer of Hot Rats?,Frank Zappa,Frank Zappa,True,producer,3,-0.0374489352107048,1.1140962839126587,53.4952278137207,16.03125,-9.9765625
27,Who was the composer of Annie?,Charles Strouse,Charles Strouse,True,composer,1,-0.040411584079265594,1.0963035821914673,52.64690399169922,8.0546875,-26.25
27,Who was the composer of Annie?,Charles Strouse,Charles Strouse,True,composer,2,-0.019324056804180145,1.2049357891082764,57.83180236816406,35.21875,-13.390625
27,Who was the composer of Annie?,Charles Strouse,Charles Strouse,True,composer,3,-0.03961349278688431,1.1123530864715576,53.41521453857422,16.0,-9.9140625
28,Who is the father of Alexander Graham Bell?,Alexander Melville Bell,Alexander Melville Bell,True,father,1,-0.040110837668180466,1.1035774946212769,52.995216369628906,8.5546875,-26.609375
28,Who is the father of Alexander Graham Bell?,Alexander Melville Bell,Alexander Melville Bell,True,father,2,-0.02092973329126835,1.2089046239852905,58.02353286743164,35.3125,-13.4765625
28,Who is the father of Alexander Graham Bell?,Alexander Melville Bell,Alexander Melville Bell,True,father,3,-0.04324479401111603,1.1279983520507812,54.171958923339844,15.65625,-10.015625
29,Who was the producer of Human Nature?,Quincy Jones,The producer of Human Nature was the late,False,producer,1,-0.039386067539453506,1.1019562482833862,52.91621017456055,8.5078125,-26.53125
29,Who was the producer of Human Nature?,Quincy Jones,The producer of Human Nature was the late,False,producer,2,-0.01970071904361248,1.2132782936096191,58.232398986816406,35.3125,-13.6015625
29,Who was the producer of Human Nature?,Quincy Jones,The producer of Human Nature was the late,False,producer,3,-0.03897358477115631,1.12159264087677,53.857269287109375,16.015625,-10.0546875
30,Who is the father of Carl Valentin Falsen?,Enevold De Falsen,Carl Valentin Falsen was born in,True,father,1,-0.039865799248218536,1.109922170639038,53.2990608215332,9.390625,-26.53125
30,Who is the father of Carl Valentin Falsen?,Enevold De Falsen,Carl Valentin Falsen was born in,True,father,2,-0.020310254767537117,1.2105491161346436,58.1019287109375,35.46875,-13.078125
30,Who is the father of Carl Valentin Falsen?,Enevold De Falsen,Carl Valentin Falsen was born in,True,father,3,-0.042809002101421356,1.1306580305099487,54.2987060546875,15.703125,-10.03125
31,Who is the father of David I of Scotland?,Malcolm III of Scotland,King Malcolm III of Scotland,True,father,1,-0.03926365450024605,1.1090710163116455,53.25721740722656,9.25,-27.0
31,Who is the father of David I of Scotland?,Malcolm III of Scotland,King Malcolm III of Scotland,True,father,2,-0.020800309255719185,1.2058695554733276,57.8777961730957,35.15625,-13.3359375
31,Who is the father of David I of Scotland?,Malcolm III of Scotland,King Malcolm III of Scotland,True,father,3,-0.042333170771598816,1.1246355772018433,54.009033203125,15.953125,-10.046875
32,In what city was Frederick George Bromberg born?,New York City,New York City,True,place of birth,1,-0.041437093168497086,1.1033610105514526,52.987186431884766,9.1875,-26.5
32,In what city was Frederick George Bromberg born?,New York City,New York City,True,place of birth,2,-0.021303359419107437,1.2001206874847412,57.60236358642578,35.25,-12.375
32,In what city was Frederick George Bromberg born?,New York City,New York City,True,place of birth,3,-0.04103422909975052,1.1285191774368286,54.19297790527344,15.625,-10.0625
33,Who was the producer of Good Night?,George Martin,The producer of Good Night was the director,False,producer,1,-0.039570290595293045,1.1029056310653687,52.96205520629883,8.9609375,-26.5625
33,Who was the producer of Good Night?,George Martin,The producer of Good Night was the director,False,producer,2,-0.019403722137212753,1.20805823802948,57.98169708251953,35.1875,-13.5625
33,Who was the producer of Good Night?,George Martin,The producer of Good Night was the director,False,producer,3,-0.03667152300477028,1.1226630210876465,53.904876708984375,15.953125,-10.0078125
34,Who is the father of Philip III of Macedon?,Philip II of Macedon,Philip II of Macedon,True,father,1,-0.04018687456846237,1.1083978414535522,53.22651672363281,9.125,-26.8125
34,Who is the father of Philip III of Macedon?,Philip II of Macedon,Philip II of Macedon,True,father,2,-0.02187192440032959,1.2121241092681885,58.17880630493164,35.40625,-13.4453125
34,Who is the father of Philip III of Macedon?,Philip II of Macedon,Philip II of Macedon,True,father,3,-0.044635333120822906,1.1340864896774292,54.46649169921875,16.0625,-10.0234375
35,Who was the screenwriter for The Shout?,Robert Graves,John Sayles,False,screenwriter,1,-0.03882806748151779,1.095607042312622,52.61075210571289,7.9296875,-26.46875
35,Who was the screenwriter for The Shout?,Robert Graves,John Sayles,False,screenwriter,2,-0.01924750953912735,1.1924904584884644,57.23457336425781,35.15625,-12.9453125
35,Who was the screenwriter for The Shout?,Robert Graves,John Sayles,False,screenwriter,3,-0.03714565560221672,1.09719717502594,52.68421173095703,16.46875,-9.8828125
36,Who was the director of In My Life?,Bille August,Michael Apted,False,director,1,-0.03853962570428848,1.1041094064712524,53.01803207397461,8.4921875,-26.71875
36,Who was the director of In My Life?,Bille August,Michael Apted,False,director,2,-0.01807788945734501,1.2027363777160645,57.72533416748047,35.125,-13.53125
36,Who was the director of In My Life?,Bille August,Michael Apted,False,director,3,-0.036984775215387344,1.116489052772522,53.6092529296875,16.125,-9.9921875
37,Who is the author of Conan the Valiant?,Roland J. Green,Robert E. Howard,False,author,1,-0.03873416408896446,1.1034470796585083,52.986595153808594,9.15625,-26.625
37,Who is the author of Conan the Valiant?,Roland J. Green,Robert E. Howard,False,author,2,-0.019458744674921036,1.2124509811401367,58.1925163269043,35.28125,-14.046875
37,Who is the author of Conan the Valiant?,Roland J. Green,Robert E. Howard,False,author,3,-0.03965921700000763,1.1218950748443604,53.8729248046875,16.015625,-10.078125
38,Who was the screenwriter for Yesterday's Hero?,Jackie Collins,John Sayles,False,screenwriter,1,-0.03860148787498474,1.0984961986541748,52.748931884765625,8.53125,-26.265625
38,Who was the screenwriter for Yesterday's Hero?,Jackie Collins,John Sayles,False,screenwriter,2,-0.02119568921625614,1.1957122087478638,57.390750885009766,35.125,-12.859375
38,Who was the screenwriter for Yesterday's Hero?,Jackie Collins,John Sayles,False,screenwriter,3,-0.0386044904589653,1.1075820922851562,53.184696197509766,16.203125,-9.984375
39,Who was the composer of Getting to Know You?,Richard Rodgers,Richard Rodgers,True,composer,1,-0.039224233478307724,1.103745937347412,53.00175857543945,7.859375,-27.0
39,Who was the composer of Getting to Know You?,Richard Rodgers,Richard Rodgers,True,composer,2,-0.018442634493112564,1.2056593894958496,57.86586380004883,35.4375,-13.65625
39,Who was the composer of Getting to Know You?,Richard Rodgers,Richard Rodgers,True,composer,3,-0.03670775145292282,1.1068488359451294,53.14643096923828,15.8046875,-10.0703125
40,Who was the director of Stuff?,Johnny Depp,Chris Morris,False,director,1,-0.038647156208753586,1.092294454574585,52.45158004760742,7.87109375,-26.1875
40,Who was the director of Stuff?,Johnny Depp,Chris Morris,False,director,2,-0.017865212634205818,1.1975489854812622,57.476280212402344,35.125,-13.234375
40,Who was the director of Stuff?,Johnny Depp,Chris Morris,False,director,3,-0.03647613152861595,1.1185364723205566,53.70664596557617,16.578125,-9.8984375
41,Who was the director of After Hours?,Martin Scorsese,Martin Scorsese,True,director,1,-0.037989355623722076,1.0978734493255615,52.718040466308594,7.9453125,-26.34375
41,Who was the director of After Hours?,Martin Scorsese,Martin Scorsese,True,director,2,-0.01875254139304161,1.199062466621399,57.54955291748047,34.9375,-13.4140625
41,Who was the director of After Hours?,Martin Scorsese,Martin Scorsese,True,director,3,-0.03766540065407753,1.1330459117889404,54.404449462890625,16.0,-10.015625
42,Who was the director of Hackers?,Iain Softley,Iain Softley,True,director,1,-0.03830176964402199,1.0956755876541138,52.61315155029297,8.265625,-26.171875
42,Who was the director of Hackers?,Iain Softley,Iain Softley,True,director,2,-0.017808539792895317,1.2005141973495483,57.6185188293457,35.125,-13.171875
42,Who was the director of Hackers?,Iain Softley,Iain Softley,True,director,3,-0.035368070006370544,1.1231659650802612,53.927001953125,16.515625,-9.8671875
43,Who was the composer of The Social Network?,Trent Reznor,Trent Reznor,True,composer,1,-0.03997626528143883,1.1025373935699463,52.94510269165039,8.625,-26.59375
43,Who was the composer of The Social Network?,Trent Reznor,Trent Reznor,True,composer,2,-0.019237510859966278,1.2053345441818237,57.85087203979492,35.21875,-13.453125
43,Who was the composer of The Social Network?,Trent Reznor,Trent Reznor,True,composer,3,-0.03873750939965248,1.1232670545578003,53.93717956542969,16.40625,-10.109375
44,Who was the screenwriter for Champion?,Rabi Kinagi,John Sayles,False,screenwriter,1,-0.03958934172987938,1.092354416847229,52.456077575683594,8.234375,-26.0
44,Who was the screenwriter for Champion?,Rabi Kinagi,John Sayles,False,screenwriter,2,-0.020225919783115387,1.1915638446807861,57.19089889526367,34.96875,-12.765625
44,Who was the screenwriter for Champion?,Rabi Kinagi,John Sayles,False,screenwriter,3,-0.03793710470199585,1.1120271682739258,53.39677810668945,16.65625,-9.8125
45,Who is the author of Reality Is What You Can Get Away With?,Robert Anton Wilson,John Grisham,False,author,1,-0.03935995697975159,1.1194502115249634,53.755165100097656,9.6171875,-27.453125
45,Who is the author of Reality Is What You Can Get Away With?,Robert Anton Wilson,John Grisham,False,author,2,-0.018084274604916573,1.2186110019683838,58.4870719909668,35.71875,-13.890625
45,Who is the author of Reality Is What You Can Get Away With?,Robert Anton Wilson,John Grisham,False,author,3,-0.03577350080013275,1.1048948764801025,53.051246643066406,15.90625,-10.1015625
46,Who is the author of Anything Goes?,Howard Lindsay,Cole Porter,False,author,1,-0.03949189558625221,1.1056208610534668,53.092140197753906,8.6171875,-26.78125
46,Who is the author of Anything Goes?,Howard Lindsay,Cole Porter,False,author,2,-0.01870807074010372,1.2087109088897705,58.012489318847656,35.25,-13.53125
46,Who is the author of Anything Goes?,Howard Lindsay,Cole Porter,False,author,3,-0.038628995418548584,1.1252397298812866,54.031612396240234,15.890625,-10.0390625
47,Who is the author of Forever in Blue: The Fourth Summer of the Sisterhood?,Ann Brashares,Ann Brashares,True,author,1,-0.03876363858580589,1.0939228534698486,52.529869079589844,7.3203125,-26.625
47,Who is the author of Forever in Blue: The Fourth Summer of the Sisterhood?,Ann Brashares,Ann Brashares,True,author,2,-0.018327148631215096,1.2106837034225464,58.10686492919922,35.6875,-13.8359375
47,Who is the author of Forever in Blue: The Fourth Summer of the Sisterhood?,Ann Brashares,Ann Brashares,True,author,3,-0.0423637256026268,1.1216291189193726,53.86491012573242,15.9921875,-10.046875
48,Who was the screenwriter for 2012?,Roland Emmerich,Simon Beaufoy,False,screenwriter,1,-0.039810020476579666,1.099430799484253,52.79582595825195,8.8046875,-25.75
48,Who was the screenwriter for 2012?,Roland Emmerich,Simon Beaufoy,False,screenwriter,2,-0.020002033561468124,1.1996326446533203,57.577884674072266,35.34375,-12.4140625
48,Who was the screenwriter for 2012?,Roland Emmerich,Simon Beaufoy,False,screenwriter,3,-0.03718101978302002,1.1101102828979492,53.303619384765625,16.28125,-9.96875
49,Who was the producer of Precious?,Lee Daniels,Lee Daniels,True,producer,1,-0.039969250559806824,1.0987180471420288,52.76190948486328,8.375,-26.546875
49,Who was the producer of Precious?,Lee Daniels,Lee Daniels,True,producer,2,-0.019720133394002914,1.2055323123931885,57.86074447631836,35.25,-13.484375
49,Who was the producer of Precious?,Lee Daniels,Lee Daniels,True,producer,3,-0.038608431816101074,1.1269725561141968,54.114681243896484,15.9140625,-9.96875
50,In what city was Alfredo Ramos Martínez born?,Monterrey,Mexico City,True,place of birth,1,-0.04074842482805252,1.099100947380066,52.78165817260742,8.75,-26.546875
50,In what city was Alfredo Ramos Martínez born?,Monterrey,Mexico City,True,place of birth,2,-0.021628819406032562,1.1959246397018433,57.40132141113281,35.125,-12.546875
50,In what city was Alfredo Ramos Martínez born?,Monterrey,Mexico City,True,place of birth,3,-0.04109615087509155,1.1440669298171997,54.93872833251953,15.5078125,-10.109375
51,Who was the composer of Petrushka chord?,Igor Stravinsky,Igor Stravinsky,True,composer,1,-0.04120044410228729,1.1045215129852295,53.04240798950195,8.953125,-26.375
51,Who was the composer of Petrushka chord?,Igor Stravinsky,Igor Stravinsky,True,composer,2,-0.020819293335080147,1.2123585939407349,58.18916702270508,35.46875,-13.390625
51,Who was the composer of Petrushka chord?,Igor Stravinsky,Igor Stravinsky,True,composer,3,-0.04049552232027054,1.107010006904602,53.160499572753906,16.171875,-9.921875
52,Who was the screenwriter for The Sea Inside?,Mateo Gil,Alejandro Amenabar,False,screenwriter,1,-0.03956364840269089,1.099137783050537,52.781341552734375,8.328125,-26.359375
52,Who was the screenwriter for The Sea Inside?,Mateo Gil,Alejandro Amenabar,False,screenwriter,2,-0.019713766872882843,1.1985068321228027,57.523624420166016,35.21875,-12.96875
52,Who was the screenwriter for The Sea Inside?,Mateo Gil,Alejandro Amenabar,False,screenwriter,3,-0.03753314167261124,1.1034067869186401,52.98267364501953,16.609375,-9.921875
53,Who was the producer of The Fog?,Debra Hill,John Carpenter,True,producer,1,-0.03910622373223305,1.096118450164795,52.6357536315918,8.53125,-26.234375
53,Who was the producer of The Fog?,Debra Hill,John Carpenter,True,producer,2,-0.018845124170184135,1.20703125,57.93198776245117,35.28125,-13.46875
53,Who was the producer of The Fog?,Debra Hill,John Carpenter,True,producer,3,-0.036864954978227615,1.1142995357513428,53.5040397644043,15.96875,-9.921875
54,Who is the author of Utopia?,Thomas More,Thomas More,True,author,1,-0.03939196094870567,1.1015660762786865,52.89750671386719,8.328125,-26.71875
54,Who is the author of Utopia?,Thomas More,Thomas More,True,author,2,-0.017777176573872566,1.2126909494400024,58.20279312133789,35.5,-13.734375
54,Who is the author of Utopia?,Thomas More,Thomas More,True,author,3,-0.03880081698298454,1.1221460103988647,53.88351821899414,15.890625,-10.046875
55,Who was the producer of Positive?,Farhan Akhtar,"The producer of Positive was the late,",False,producer,1,-0.04003971815109253,1.1017876863479614,52.90925216674805,8.5,-26.234375
55,Who was the producer of Positive?,Farhan Akhtar,"The producer of Positive was the late,",False,producer,2,-0.019727401435375214,1.2125983238220215,58.19979476928711,35.1875,-13.5625
55,Who was the producer of Positive?,Farhan Akhtar,"The producer of Positive was the late,",False,producer,3,-0.0382489413022995,1.1251800060272217,54.02812194824219,15.7734375,-9.984375
56,Who is the father of Count Palatine Joseph Charles of Sulzbach?,"Theodore Eustace, Count Palatine of Sulzbach",Joseph Charles of Sulzbach was the,True,father,1,-0.041930437088012695,1.109247088432312,53.270347595214844,9.3828125,-26.6875
56,Who is the father of Count Palatine Joseph Charles of Sulzbach?,"Theodore Eustace, Count Palatine of Sulzbach",Joseph Charles of Sulzbach was the,True,father,2,-0.023302201181650162,1.213797926902771,58.260406494140625,35.71875,-13.25
56,Who is the father of Count Palatine Joseph Charles of Sulzbach?,"Theodore Eustace, Count Palatine of Sulzbach",Joseph Charles of Sulzbach was the,True,father,3,-0.04437355697154999,1.1170324087142944,53.64822006225586,15.8828125,-10.078125
57,Who was the screenwriter for The Naked Gun: From the Files of Police Squad!?,Pat Proft,David Zucker,True,screenwriter,1,-0.03852654993534088,1.0926008224487305,52.466064453125,8.1015625,-25.953125
57,Who was the screenwriter for The Naked Gun: From the Files of Police Squad!?,Pat Proft,David Zucker,True,screenwriter,2,-0.018933244049549103,1.1971319913864136,57.45705795288086,35.5625,-12.6484375
57,Who was the screenwriter for The Naked Gun: From the Files of Police Squad!?,Pat Proft,David Zucker,True,screenwriter,3,-0.03341164439916611,1.0795601606369019,51.83246612548828,16.671875,-9.8828125
